sub_id,age,sex,race_ethn,education,income,no_in_household,marital_status,income_adj,minoritized,tone,style,context,actual_rating
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,formal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,formal,high_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,formal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,formal,low_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,informal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,informal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,informal,low_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,value_affirmation,informal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,formal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,formal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,formal,low_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,formal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,informal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,informal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,informal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,norms,informal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,formal,high_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,formal,high_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,formal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,formal,low_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,informal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,informal,high_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,informal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,acknowledging,informal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,formal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,formal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,formal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,formal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,informal,high_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,informal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,informal,low_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,self_efficacy,informal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,formal,high_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,formal,high_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,formal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,formal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,informal,high_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,informal,high_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,informal,low_inc,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,caring_supportive,informal,low_dec,7
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,formal,high_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,formal,high_dec,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,formal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,formal,low_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,informal,high_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,informal,high_dec,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,informal,low_inc,6
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,legitimizing,informal,low_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,formal,high_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,formal,high_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,formal,low_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,formal,low_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,informal,high_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,informal,high_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,informal,low_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,value_affirmation,informal,low_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,norms,formal,high_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,norms,formal,high_dec,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,norms,formal,low_inc,7
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,norms,formal,low_dec,7
