sub_id,age,sex,race_ethn,education,income,no_in_household,marital_status,income_adj,minoritized,type,identifier,rating
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,value_affirmation,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,norms,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,acknowledging,4
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,self_efficacy,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,caring_supportive,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,tone,legitimizing,4
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,style,formal,5
1,46,Male,Hispanic,HS,130000,4,Divorced,32500.0,True,style,informal,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,value_affirmation,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,norms,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,acknowledging,4
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,self_efficacy,4
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,caring_supportive,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,tone,legitimizing,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,style,formal,6
2,38,Male,White,Bachelor,70000,4,Divorced,17500.0,False,style,informal,7
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,value_affirmation,6
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,norms,6
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,acknowledging,6
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,self_efficacy,6
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,caring_supportive,5
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,tone,legitimizing,6
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,style,formal,4
3,48,Male,Other,Some College,135000,1,Married,135000.0,True,style,informal,5
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,value_affirmation,5
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,norms,5
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,acknowledging,7
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,self_efficacy,3
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,caring_supportive,6
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,tone,legitimizing,3
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,style,formal,5
4,58,Male,Black,Graduate,150000,2,Divorced,75000.0,True,style,informal,6
5,37,Male,Hispanic,Graduate,100000,1,Married,100000.0,True,tone,value_affirmation,5
5,37,Male,Hispanic,Graduate,100000,1,Married,100000.0,True,tone,norms,4
5,37,Male,Hispanic,Graduate,100000,1,Married,100000.0,True,tone,acknowledging,4
5,37,Male,Hispanic,Graduate,100000,1,Married,100000.0,True,tone,self_efficacy,6
