# generated in 00:01:49 REMOVE When Viewing

"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is important to recognize that your lapse risk is high and increasing, and this is a natural part of the recovery process for many. Periods of heightened risk can happen, and they do not define your commitment or progress. These moments are a valid and expected part of your journey, and facing them shows strength and resilience. Trust that navigating this challenge is part of the process, and you are not alone in experiencing these ups and downs."
"2","high","decreasing","0.7","formal","Legitimizing","Recovery is a journey that often comes with challenges, and it is entirely normal to face moments of difficulty along the way. Your lapse risk is high and decreasing, which reflects the hard work you are putting into this process. These shifts are a natural part of change, and they show that progress is happening, even when it feels slow. Every step forward matters, and it is important to acknowledge the effort you are making."
"3","low","increasing","0.7","formal","Legitimizing","It is completely normal to face moments where the journey feels a little more difficult. Your lapse risk is low and increasing, which is a natural part of the recovery process and does not define your progress or commitment. These shifts are a common experience and serve as reminders of the strength and resilience it takes to move forward. Every step you take continues to show your dedication to building a healthier path."
"4","low","decreasing","0.7","formal","Legitimizing","It is entirely natural to encounter challenges and uncertainties during recovery, as this journey involves navigating many complex experiences. Your lapse risk is low and decreasing, which reflects the positive steps you are taking. These changes show that recovery is a process, and progress unfolds in meaningful ways over time. Each moment of growth is a testament to your efforts and the resilience you continue to build."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, which can feel challenging to navigate. This reflects how important it is to stay aware of your needs and the moments that may feel most difficult. Recovery is a journey that includes ups and downs, and it’s okay to acknowledge when things feel harder. This app is here to support you by recognizing these patterns and helping you stay connected to your goals."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and decreasing, which shows progress in the right direction. This is an important moment, and it’s clear that you are making strides to manage challenging situations. Every step forward, no matter how small it may seem, is a step toward your goals. Recovery is a journey, and this app is here to offer support as you continue moving forward."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low, though it has been increasing. This change is important to acknowledge, as it reflects how recovery can sometimes feel like a journey with shifting terrain. Please know that this app is here to provide support and encouragement as you navigate these moments. Your efforts in recovery are valued and recognized, and it is clear you are making meaningful progress."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and continuing to decrease, which reflects the positive steps you’ve been taking in your recovery. This progress is something to be proud of, as it shows your efforts are making a meaningful difference. Please know that this system is here to support you with care and understanding as you continue along this path. Your dedication is noticed and valued, and you are not alone on this journey."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is high and increasing, but it’s important to remember the progress you’ve already made and the strengths you bring to your recovery journey. You’ve shown the ability to engage with the tools and resources available to you, which demonstrates resilience and determination. Building on these strengths can help you navigate challenges and continue moving forward. Trust in your ability to stay committed to your goals and make choices that support your long-term well-being."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is high and decreasing, which reflects the positive steps you are taking toward steady progress. This demonstrates your ability to engage with the tools at your disposal and persevere through challenges. By continuing to build on your strengths and past achievements, you are showing resilience and determination. Trust in your capacity to stay committed to the process and keep moving forward."
