"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can bring tough moments, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it means you’re human. Struggles like this are a natural part of the process, and they don’t define your strength or your progress. Every step, even the hard ones, is part of moving forward."
"2","high","stable","0.0","neutral","Legitimizing","Recovery can bring tough moments, and it’s completely normal to face challenges along the way. Your lapse risk is high and stable right now, but this doesn’t mean you’re failing—it means you’re human. Many people experience ups and downs in this process, and it’s okay to feel the weight of it. What matters most is that you’re here, showing up for yourself, and that’s something to be proud of."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can bring up challenges and strong feelings, and it’s important to know that this is a normal part of the process. Your lapse risk is high right now, but it’s moving in the right direction and decreasing. This shows that even in tough moments, progress is happening. Every step you take, no matter how small, is part of building a stronger foundation for yourself."
"4","medium","increasing","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is currently medium and increasing, which reflects the natural ebb and flow of this journey. Experiencing moments of doubt or difficulty doesn’t mean you’re failing—it’s simply part of the process many people go through. Every step you take, even during tough times, is part of building a stronger foundation for lasting change."
"5","medium","stable","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is medium and stable, which means you're navigating a steady path right now. Feeling uncertain or having strong emotions is part of the process, and it doesn’t take away from the progress you’ve made. Every step forward, even through tough moments, is a sign of your strength and commitment."
"6","medium","decreasing","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is medium and decreasing, which shows that you’re making progress, even if things feel tough at times. It’s okay to have moments of doubt or struggle—these are part of the process and don’t take away from the effort you’re putting in. Every step forward matters, and you’re moving in the right direction."
"7","low","increasing","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face moments that feel harder than others. Your lapse risk is low right now, but it’s increasing, which is something many people experience as they navigate this journey. These shifts don’t mean you’re doing anything wrong—they’re simply part of the process. Every step you take, even through challenges, is a sign of your strength and commitment."
"8","low","stable","0.0","neutral","Legitimizing","It’s completely normal to face challenges and have tough moments during recovery—these experiences are part of the process and don’t define your progress. Your lapse risk is low and stable, which shows the strength of the foundation you’re building. Remember, it’s okay to feel what you feel, and every step forward matters. You’re doing meaningful work, and it’s making a difference."
"9","low","decreasing","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face challenges or have moments of doubt along the way. These experiences don’t define your progress—they’re simply part of the journey. Your lapse risk is low and continuing to decrease, which shows the strength and resilience you’re building. Every step forward, even through tough moments, is a sign of growth and commitment."
"1","high","increasing","0.0","neutral","Supportive","Your lapse risk is currently high and increasing, which can feel like a heavy weight to carry. This is a challenging moment, but it doesn’t define your strength or the progress you’ve made so far. It’s okay to feel what you’re feeling, and you’re not alone in this—this app is here to support you every step of the way. Together, we can navigate this path and keep moving forward, one day at a time."
"2","high","stable","0.0","neutral","Supportive","Your lapse risk is high and stable right now, and that’s something to be mindful of as you move through today. Recovery can feel challenging at times, but it’s important to remember you’re not alone in this journey. This app is here to support you every step of the way, offering tools and encouragement to help you stay focused on your goals. You’ve already shown strength by being here, and every small step forward matters."
"3","high","decreasing","0.0","neutral","Supportive","Your lapse risk is high right now, but it’s moving in the right direction and starting to decrease. This shows the effort you’re putting into your recovery is making a difference, even when things feel tough. Remember, it’s okay to face challenges along the way—this app is here to support you through every step. You’re not alone in this, and every small step forward matters."
"4","medium","increasing","0.0","neutral","Supportive","Your lapse risk is currently medium and has been increasing. This can feel challenging, but it’s important to remember that ups and downs are a natural part of the recovery journey. You’re not alone in this—this app is here to support you every step of the way. Take a moment to acknowledge the progress you’ve made so far, and know that every effort you make matters."
"5","medium","stable","0.0","neutral","Supportive","Your lapse risk is currently medium and stable. Recovery can have its ups and downs, and it’s okay to take things one step at a time. This app is here to support you and walk alongside you on your journey, no matter what today brings. Remember, every effort you make is a meaningful part of your progress, and you’re not alone in this."
"6","medium","decreasing","0.0","neutral","Supportive","Your lapse risk is currently medium and moving in a positive direction, which shows the progress you're making. Recovery is a journey, and every step forward matters, no matter how small it may seem. This app is here to support you and walk alongside you as you continue building strength and resilience. Remember, you're not alone in this—your efforts are seen and valued."
"7","low","increasing","0.0","neutral","Supportive","Your lapse risk is low right now, but it’s starting to increase. This can happen to anyone, and it’s okay to feel a little unsure about things. What matters most is that you’re here, taking steps toward your recovery, and that’s something to be proud of. Remember, this app is here to support you every step of the way—you’re not alone in this journey."
"8","low","stable","0.0","neutral","Supportive","Your lapse risk is low and stable, which shows the strength and consistency you’ve been building in your recovery. It’s clear how much effort you’ve put into this journey, and that’s something to feel proud of. Remember, you’re not alone—this app is here to support you every step of the way. Keep leaning into the progress you’ve made, knowing that you’re moving forward with care and determination."
"9","low","decreasing","0.0","neutral","Supportive","Your lapse risk is low and continuing to decrease, which shows the strength and progress you’re making in your recovery journey. It’s clear that the steps you’re taking are helping you build a solid foundation, and that’s something to feel proud of. This app is here to support you every step of the way, offering tools and encouragement whenever you need them. Remember, you’re not alone in this—your efforts matter, and they’re making a difference."
"1","high","increasing","0.0","neutral","Self Efficacy","Your lapse risk is high and increasing, but you’ve shown strength and determination in navigating challenges before. You have the ability to use the tools in this app to stay focused and build on the progress you’ve already made. Every step you take, no matter how small, shows your resilience and commitment to your recovery journey. Trust in your ability to keep moving forward—you’ve got what it takes."
"2","high","stable","0.0","neutral","Self Efficacy","Your lapse risk is high and stable, but you’ve shown strength and determination in facing challenges before. You have the ability to keep using the tools in the app to stay focused on your recovery goals. Every small step you take builds on the progress you’ve already made, and that progress shows how capable you are of moving forward. Trust in your resilience and the skills you’ve developed to keep navigating this journey."
"3","high","decreasing","0.0","neutral","Self Efficacy","Your lapse risk is high and decreasing, which shows the progress you're making in your recovery journey. This reflects your ability to face challenges and keep moving forward, even when things feel tough. You've already shown strength and determination by using the tools available to you, and that same focus can help you continue building on your successes. Trust in your ability to keep making choices that support your growth."
"4","medium","increasing","0.0","neutral","Self Efficacy","Your lapse risk is currently medium and increasing, but you’ve shown so much strength and determination in your journey so far. You have the ability to face challenges head-on and use the tools in the app to keep building on the progress you’ve already made. Every step you’ve taken shows how capable you are of staying focused and moving forward. Trust in your resilience and the skills you’ve developed to keep making positive strides."
"5","medium","stable","0.0","neutral","Self Efficacy","Your lapse risk is medium and stable, which shows you’re holding steady in your recovery journey. You’ve already shown strength and determination to get this far, and you have the ability to keep building on those successes. By staying engaged with the tools and features in the app, you’re proving that you can handle challenges and keep moving forward. Trust in your ability to keep making progress—your efforts are making a real difference."
