"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing, and this can happen when cravings grow stronger. These cravings can feel uncomfortable, but they are a common part of the recovery process. It is okay to feel this way, and your experience makes sense given what you are working through. Many people notice days like this during recovery, and it is alright to recognize what you are feeling today."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, and this change shows the effort you are putting in each day. Craving is playing a strong part in your risk right now, and it is common for these feelings to rise and fall during recovery. It is okay to feel this way, and these experiences are part of the process many people go through. You are moving forward, and your steady progress is recognized."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this change can feel unsettling. Craving is playing a role in this shift, and it is completely expected to have moments like this during recovery. It is okay to notice these feelings and to let them be part of your day without judging yourself. Many people experience similar moments, and your awareness today shows continued care for your recovery."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing today, and cravings are playing a strong role in this change. Even with this challenge, you have shown many times that you can stay steady and use the skills you already have. Your past efforts show that you can move through moments like this with care and focus. Each step you take today can help you keep building on your strength and progress."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, and this progress shows the effort you have been making. Craving has been a strong factor today, yet you have shown the ability to move through moments like this before. The skills you have built are still with you, and they can help you continue on this path. Your steady steps forward highlight your strength and commitment."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and craving is playing a role in that change. Your steady efforts show that you have the strength to keep moving forward. You have already shown strong skills in handling moments like this, and those skills are working for you today. Your progress reflects your ability to stay on your path with confidence."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing, and this reflects the strong cravings you have been facing. These cravings can bring up many feelings, and those feelings are noticed and respected. Your willingness to recognize them shows real awareness of your own experience. Taking a moment to reflect on what you are feeling today may help you stay steady as you move forward."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this change shows the effort you have been putting in. Craving is playing a large part in your risk today, and it makes sense if that feels tiring or distracting. Your experiences are understood, and your feelings are an important part of what you are facing. Taking a moment to notice these emotions may help you feel more steady as you move through the day."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change appears linked to the cravings you noted. It sounds like these feelings have been weighing on you, and your effort to name them is clear. Your openness shows real awareness, and it may help to take a moment to reflect on what these cravings feel like for you today. You are doing well by paying attention to your own experience."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and this rise is linked in part to stronger craving today. It may help to pause and think about the people, goals, and values that guide your life. These are the reasons you keep moving forward, even when things feel hard. Holding these close can support your focus as you continue your recovery today."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing, which shows some steady progress. Craving is playing a strong role in this risk today, and noticing that influence can help you understand your path. This may be a good time to think about what matters most in your life, the people and goals that guide your steps each day. Holding on to these values can support your focus as you continue moving forward."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and this change is linked to the cravings you reported. Even with these cravings, your steady focus on what matters most in your life can guide you through today. Taking a moment to remember the people, goals, and values that keep you moving forward can bring calm and strength. Your continued effort reflects the importance of these parts of your life."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing today, and craving is playing a strong role in this change. Many people in recovery face similar moments, and feelings like these are more common than they might seem. Others have worked through days like this, and their experiences show that these challenges are part of the process. You are not alone in facing this pattern, and noticing it can help you stay aware of what is happening today."
"2","high","decreasing","1.0","formal","Norms","Your lapse risk is high and decreasing, which shows you are moving in a steady direction. Craving is playing a strong part in your risk today, and many people on this path have faced similar moments. These kinds of feelings are common for others working toward recovery, and your experience fits within what many have gone through. It is clear that you are continuing forward even as these cravings rise and fall."
"3","low","increasing","1.0","formal","Norms","Your lapse risk is low and increasing, and it is rising mainly because cravings have been more noticeable today. Many people in recovery face moments like this, and cravings are a common part of the process. Others have had similar experiences and have continued moving forward at their own pace. Your steady attention to your progress today is an important part of that path."
"1","high","increasing","1.0","informal","Legitimizing","Your lapse risk is high and increasing, and craving is playing a big part in that today. It makes sense to feel this way, and these feelings can show up even when you are working hard. It is okay to notice these cravings and any stress they bring, because they are a normal part of the process. You are not alone in having days like this, and it is completely alright to take things one step at a time."
"2","high","decreasing","1.0","informal","Legitimizing","Your lapse risk is high and decreasing, and that change shows you are moving forward even if it feels slow. Craving is playing a big part in how things feel today, and that can be tough. It is okay to feel this way, and nothing about these feelings means you are doing anything wrong. Many people go through moments like this, and it is all part of the process."
"3","low","increasing","1.0","informal","Legitimizing","Your lapse risk is low and increasing, and craving is playing a part in that today. It makes sense to feel this way, and many people in recovery go through days like this. It is okay to notice these cravings and to feel whatever comes with them. You are moving through a normal part of the process, and it is okay to take things one step at a time."
"1","high","increasing","1.0","informal","SelfEfficacy","Your lapse risk is high and increasing, and a big part of that today comes from the cravings you reported. Even with this challenge, you have shown strong skills that help you stay steady. You have gotten through tough moments before, and that strength is still with you now. Keep trusting in what you can do, because you have what it takes to move forward."
"2","high","decreasing","1.0","informal","SelfEfficacy","Your lapse risk is high and decreasing, which shows the work you are putting in is helping. Craving is playing a big role today, but you have handled moments like this before. You have the strength and skills to keep moving forward, even when things feel tough. Each step you take is proof that you can do this."
"3","low","increasing","1.0","informal","SelfEfficacy","Your lapse risk is low and increasing, and it looks like cravings are playing a part in that today. You have already shown you can handle moments like this, and those same skills are still with you now. The way you keep showing up for yourself says a lot about your strength. Keep trusting the steady progress you have made because it comes from your own effort."
"1","high","increasing","1.0","informal","Acknowledging","Your lapse risk is high and increasing, and craving is playing a big part in that today. It sounds like this has been weighing on you, and your feelings are coming through clearly. Your effort to name what is going on shows real awareness, and it may help to take a moment to notice how all of this feels for you right now. You are not alone in having days like this, and it is okay to pause and catch your breath."
"2","high","decreasing","1.0","informal","Acknowledging","Your lapse risk is high and decreasing, and that change shows you are moving through a tough moment. Craving is playing a big part in how things feel right now, and it makes sense if your emotions feel strong. Your feelings are seen, and it is okay to take a moment to notice what is going on inside. Keep letting yourself acknowledge what you are going through, one step at a time."
"3","low","increasing","1.0","informal","Acknowledging","Your lapse risk is low and increasing, and it makes sense if that feels a bit confusing or frustrating. Craving is playing a part in this, and it can bring up feelings that are tough to carry through the day. It sounds like you have been doing your best, and your feelings are real and worth paying attention to. Take a moment to notice what has been going on inside, and give yourself credit for staying honest about your experience."
"1","high","increasing","1.0","informal","ValueAffirmation","Your lapse risk is high and increasing, and cravings are playing a big part in that today. It might help to take a moment and remember what matters most to you, the people and goals that keep you moving forward. You have worked hard to hold onto those things, and they can guide you through tough moments. Keep close to what gives your life meaning, because it can make this day feel a little steadier."
"2","high","decreasing","1.0","informal","ValueAffirmation","Your lapse risk is high and decreasing, and cravings are playing a big part in that today. Even with that going on, you keep moving forward, and that says a lot about what matters most to you. Take a moment to remember the people, goals, and hopes that give your days meaning. Holding on to those can help you stay connected to why you keep going."
"3","low","increasing","1.0","informal","ValueAffirmation","Your lapse risk is low and increasing, and cravings are playing a part in that today. It might help to take a moment to remember what matters most to you, like the people and goals that keep you moving forward. You have worked hard to build things you care about, and those things are still there for you. Holding on to what is important can give you steady energy as you go through the day."
"1","high","increasing","1.0","informal","Norms","Your lapse risk is high and increasing, and craving is playing a big part in that today. Many people in recovery go through days like this, and their cravings can feel just as strong. You are not alone in this, and plenty of others have made it through moments like these. It makes sense that this feels tough, and it is okay to notice that others have been in the same spot."
"2","high","decreasing","1.0","informal","Norms","Your lapse risk is high and decreasing, and cravings are playing a big part in that today. Plenty of people in recovery go through strong cravings, and many have felt the same pull you are feeling now. Their experiences show that these moments can shift with time. You are moving in a direction that many others have taken, and your steady progress today is part of that path."
"3","low","increasing","1.0","informal","Norms","Your lapse risk is low and increasing, and cravings are playing a part in that shift today. Lots of people in recovery feel cravings from time to time, and it does not make their progress unusual. Many others have gone through the same thing and kept moving forward. You are not alone in these feelings, and noticing them is a steady way to keep understanding your path."
