"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing, and craving is playing a major role today. Experiences like this can be a normal part of the recovery process, and it is okay for these moments to show up. Many people notice shifts like this as they move forward, and it can take time for these patterns to settle. This message is meant to help you stay aware of what is happening today."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing today, which is a pattern that can occur during recovery. Craving is playing a strong role in this change, and this kind of influence is an expected part of the process. It is okay for this to be happening during your recovery. Many people notice shifts like this as they move forward, and it remains a normal part of the journey."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this change is linked to craving playing a larger role today. In recovery, shifts like this are a normal part of the process, and they often occur even during steady progress. It is okay for this stage to unfold in this way, and it fits with what many people encounter over time. This information may help you understand how the day is taking shape."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing, and craving is playing a strong part in this change today. Even with these challenges, your steady effort shows that you have the strength to keep moving forward. The skills you have built are still working for you, step by step. Your continued focus today reflects your ability to stay on your path."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows steady movement in a helpful direction. Craving is playing a strong role in your risk today, and it is important information for you to have. You have shown clear strength, and you have the ability to keep moving forward. Your steady effort reflects real skill and determination."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and this rise is linked to cravings noted in your recent data. Your steady progress shows that you have strong abilities that continue to support your recovery. You have built skills that help you stay on track, and those skills remain ready for you today. Your consistent effort reflects real capability that can carry you forward."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing today, and this is linked in part to the cravings you noted. The information you shared points to a day that may feel tense or tiring. Your feelings are understood, and your report shows what you are carrying right now. Taking a moment to notice these reactions may help you see what is happening inside you today."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this shift may connect with the cravings you noted. It seems these cravings have been weighing on you, and your recent survey responses make that clear. Your attention to these feelings is important, and this message reflects what you shared. Taking a moment to notice your own reactions today may help you understand what this experience means for you."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change appears to be influenced by the cravings you noted. Your report has been taken into account, and your experiences are recognized. It may help to take a moment to notice how these cravings have been showing up for you today. Your continued attention to what you are feeling is clearly reflected here."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and craving is playing a significant role in that change today. It may help to take a moment to think about the parts of your life that matter most to you and the reasons you continue on this path. Holding those values in mind can offer a steady point of focus as you move through the day. Let these important parts of your life guide how you choose to spend your time and attention."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing today, and craving is playing a strong role in that pattern. It may be helpful to focus on the parts of your life that you value most, because these can guide your steps in meaningful ways. Reflecting on what gives your days purpose can offer a clear sense of direction. Holding these priorities in mind may support the choices you plan to make today."
"3","low","increasing","1.0","formal","ValueAffirmation","The lapse risk is low and increasing, and craving is playing a meaningful role in that change. This is a good moment to pause and think about the people, hopes, and goals that hold the most value in daily life. Focusing on what gives life meaning can offer a clear sense of direction today. Let these important parts of life guide the next steps."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing today, and this is linked in part to strong craving. Many people working on recovery have faced similar moments, and their experiences show that such challenges are not unusual. Your situation fits within patterns seen in others who have walked this path before. This information can help you stay aware of what is happening around you right now."
"2","high","decreasing","1.0","formal","Norms","Your lapse risk is high and decreasing, which shows a helpful shift today. Craving is playing a strong role in this risk, and many people in recovery have faced similar challenges with it. Others have gone through moments like this and found that these patterns were not unusual. Your attention to this update can support your awareness as you move through the day."
"3","low","increasing","1.0","formal","Norms","Your lapse risk is low and increasing today, and craving is playing a role in that change. Many people in recovery have gone through cravings that rise at times, and their experiences have also shifted from day to day. Their stories show that this kind of challenge has been part of many recovery paths. This information may help you stay aware of what is happening for you today."
"1","high","increasing","1.0","informal","Legitimizing","Your lapse risk is high and increasing today, and craving is playing a big role in that. Changes like this are a common part of the recovery process, and it is okay for things to feel tough right now. Even with the rise in risk, this moment fits into the kind of ups and downs that many people move through over time. Take a little space to notice that this is part of the whole journey, not a sign that you are doing anything wrong."
"2","high","decreasing","1.0","informal","Legitimizing","Your lapse risk is high and decreasing right now, and craving is playing a big part in that. Cravings can pop up in recovery, and they are a normal part of the process. It is okay that this is showing up for you today. Keep checking in with yourself as the day moves along, since changes like this are part of how recovery unfolds."
"3","low","increasing","1.0","informal","Legitimizing","Your lapse risk is low and increasing, and cravings are playing a big role in that shift today. Cravings often show up during recovery, and they are a normal part of the process. It is okay for this to be happening right now, and it fits with what many people go through on days like this. Staying aware of this pattern can help the rest of your day feel a bit steadier."
"1","high","increasing","1.0","informal","SelfEfficacy","Your lapse risk is high and increasing right now, and craving is playing a big part in that. Even with this pressure, you’ve shown before that you can stick to your path. You have real strength in how you handle tough moments, and that strength is still there. Keep leaning on the skills you already have because they can carry you through today."
"2","high","decreasing","1.0","informal","SelfEfficacy","Your lapse risk is high and decreasing, and craving is playing a big part in that risk today. You’ve handled tough moments before, and your steady effort shows you can keep moving forward. Each step you take adds to your strength. You’ve got the skill to stay on track today."
"3","low","increasing","1.0","informal","SelfEfficacy","Your lapse risk is low and increasing, and craving is playing a part in that today. You have shown again and again that you can handle tough moments, and that strength still counts right now. The steady effort you put in each day shows you have the skills to keep moving forward. Keep trusting the abilities you already carry with you."
"1","high","increasing","1.0","informal","Acknowledging","Your lapse risk is high and increasing, and this comes up today as craving plays a big part in it. It sounds like a lot has been going on, and the way you described your feelings really comes through. Take a moment to notice what these cravings and emotions have been like for you today. This message is here to reflect what you shared and help you stay aware of what is happening inside you."
"2","high","decreasing","1.0","informal","Acknowledging","Your lapse risk is high and decreasing, and cravings are playing a big part in that today. It sounds like the feelings that came up for you are being noticed and taken seriously. You might take a moment to sit with what those feelings have been like for you. This update is here to help you stay aware of what is going on inside you."
