"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing, and this is something that can happen during recovery. Craving is playing a strong role in this change, and many people face similar moments as they move forward. These feelings can be uncomfortable, yet they are a normal part of the process. It is okay to feel this way, and you are not alone in having days like this."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, which shows some steady movement in a positive direction. Craving is playing a strong part in your risk today, and experiencing this is a normal part of recovery. It is okay to notice these cravings and to feel whatever comes with them. Many people go through similar moments, and your experience fits within the expected ups and downs of this process."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this change often happens as people move through recovery. Craving is playing a key role in this shift, and it is an experience many people face along the way. It is completely alright to notice these feelings, since they are a normal part of the process. You are doing your best by paying attention to what is happening inside you."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing, and cravings are playing a strong role in this change. Even so, you have shown many signs of strength that can support you today. You have skills that have helped you stay steady before, and those skills are still with you now. Each step you take shows that you have the ability to keep moving forward."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows that your recent efforts are making a real difference. Craving is playing a strong role today, yet you have shown many times that you can move through moments like this. Your steady progress reflects the skills you already carry. You have what it takes to keep going with confidence."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and this rise is linked to some recent craving. Your steady progress shows that you have strong skills that support your recovery each day. You have handled moments like this before, which shows your ability to stay on your path. Your efforts continue to demonstrate that you have what it takes to keep moving forward."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing, and this may feel worrying, especially with cravings playing a strong role today. Your recent answers show that these cravings have been weighing on you, and this is understood. Your effort to notice these feelings is important, and it shows real awareness. Take a moment to reflect on how these emotions have been showing up for you today, and know that this information matters."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this change reflects the effort you have been putting in. Craving has played a strong part in this risk, and your awareness of it is important. Your feelings and experiences are recognized, and it is clear that you have been carrying a lot. Taking a moment to notice how these emotions show up for you may help you understand your path today."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change seems to be linked to the cravings you noted. Your report shows careful attention to how you have been feeling, and that effort is recognized. Your cravings may have made the day feel a bit more tense, and it is understandable to notice that. Your reflections today show real awareness of your emotional state, which is important to keep in mind as you move forward."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and today it is being strongly influenced by craving. This moment can be a time to pause and remember what matters most in your life, including the people and goals that guide you. Holding those values close may help you stay connected to the reasons you keep moving forward. You have shown strength before, and those same values can support you again today."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing, and cravings are playing a strong part in that pattern today. It may help to pause and think about the people and goals that matter most in your life, because these can guide your steps. Your steady progress shows how much your values continue to shape your choices. Holding those important parts of your life close can support the direction you are already moving."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and craving is playing a role in this change. It may help to pause and remember the people, goals, and hopes that guide your life. These parts of your life can offer steady support as you move through today. Your continued effort speaks to what matters most to you and why you keep going."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing, and cravings are playing a strong part in this change today. Many people in recovery face cravings like yours, and their experiences often follow a path similar to what you are seeing now. These feelings may seem hard, but they are not unusual among others working toward the same goals. Knowing that others have been through this can help you feel less alone as you move through your day."
