"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s a sign that your path is complex, like so many others. Struggles like this are part of the process, and they don’t define your ability to keep moving forward. You’re not alone in this, and every step you take matters."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is valid and expected, and it doesn’t take away from the progress you’ve made. Every step forward, no matter how small, is meaningful and worth celebrating."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is valid and doesn’t take away from the progress you’ve made. Every step forward, no matter how small, is meaningful and worth celebrating."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be full of ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is a valid part of growth, and it doesn’t take away from the progress you’ve made. You’re not alone in this, and every step forward matters, even when the path feels tough."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be full of ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. These moments of struggle are valid and don’t define your progress. Every step, even the hard ones, is part of building a stronger foundation for your journey."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is valid and expected, and it doesn’t take away from the progress you’ve made. Every step forward, no matter how small, is meaningful and worth celebrating."
"1","high","increasing","0.25","neutral","Legitimizing","Recovery can be full of ups and downs, and it's completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is a valid part of growth, and it doesn’t take away from the progress you’ve made. Every step forward, even through tough moments, is a sign of your strength and commitment."
"1","high","increasing","0.25","neutral","Legitimizing","Recovery can bring moments that feel heavy and uncertain, and it’s important to know that these experiences are a natural part of the process. Your lapse risk is high and increasing, but facing challenges like this is something many people go through on their journey. It doesn’t mean you’re failing—it means you’re human, and growth often comes with ups and downs. Every step forward, even in tough times, is part of building a stronger foundation for yourself."
"1","high","increasing","0.25","neutral","Legitimizing","Recovery can be full of ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, which reflects how tough this process can feel sometimes. These moments don’t define your journey—they’re part of it, and they show how much effort you’re putting into making changes. Every step forward, no matter how small, is meaningful and worth celebrating."
"1","high","increasing","0.25","neutral","Legitimizing","Recovery can be a tough journey, and it's completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people experience. Feeling uncertain or struggling at times is valid, and it’s okay to acknowledge those moments. Every step forward, even when it feels small, is part of building a stronger foundation for yourself."
"1","high","increasing","0.25","neutral","Legitimizing","Recovery can bring moments that feel heavy and uncertain, and it’s important to recognize that these experiences are a natural part of the journey. Your lapse risk is high and increasing, but facing challenges like this is something many people go through. It doesn’t mean you’re failing—it means you’re human, navigating a process that takes time and patience. Every step forward, even on tough days, is part of building a stronger foundation for yourself."
"1","high","increasing","0.5","neutral","Legitimizing","Recovery is a journey that comes with ups and downs, and it’s completely natural to face moments when things feel harder than usual. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s simply part of the process many people go through. Experiencing challenges and doubts is a valid and expected part of building a stronger foundation for yourself. You’re not alone in this, and every step you’re taking matters."
"1","high","increasing","0.5","neutral","Legitimizing","Recovery is a journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but that doesn’t mean you’re failing or alone in this experience. Many people encounter moments like this, and it’s an expected part of the process. What matters most is recognizing that these feelings and struggles are valid, and you’re still moving forward."
"1","high","increasing","0.5","neutral","Legitimizing","Recovery can bring moments that feel overwhelming or uncertain, and it’s important to recognize that these challenges are a natural part of the process. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it means you’re navigating a tough stretch, just like many others do. Every step forward, even when it feels difficult, is part of the journey toward healing and growth. You’re not alone in facing these struggles, and they don’t define your ability to keep moving forward."
"1","high","increasing","0.5","neutral","Legitimizing","Recovery is a journey that comes with its ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it simply reflects the complexity of the process you’re navigating. Having moments of struggle or doubt is a natural part of healing, and these experiences don’t define your progress. You’re not alone in this, and every step you take matters."
