"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"

# When generating two messages at a time with recent feedback mode on
# first message generated
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s a sign that you’re navigating a process that can be complex and demanding. Feeling uncertain or struggling at times is part of the experience, and it’s okay to acknowledge that. You’re not alone in this, and every step forward, no matter how small, is meaningful."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be tough, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s a sign that you’re navigating a difficult part of the process, which happens to many people. These moments are part of the journey, and they don’t define your ability to keep moving forward. You’re not alone in this, and every step you take matters."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery can be a tough journey, and it’s completely normal to face challenges along the way. Your lapse risk is high and increasing, but this doesn’t mean you’re failing—it’s a sign that your path is complex, like so many others. Feeling uncertain or struggling at times is part of the process, and it’s okay to acknowledge those moments. You’re not alone in this, and every step forward matters."
# second message generated
"1","high","increasing","0.0","neutral","Legitimizing","Recovery is full of ups and downs, and it’s natural to encounter moments that feel especially challenging. Your lapse risk is high and increasing, but this reflects the reality of how demanding this process can be, not a reflection of your strength or worth. Facing difficulties is a common part of growth, and it’s important to recognize that these moments are part of the journey. You’re doing something brave by continuing to move forward, even when it feels hard."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery is full of ups and downs, and it’s natural to encounter moments that feel especially challenging. Your lapse risk is high and increasing, but this is a common experience for many people working through recovery. Facing difficulties doesn’t take away from the progress you’ve made or the strength you have. These moments are part of the process, and they don’t diminish your ability to keep growing."
"1","high","increasing","0.0","neutral","Legitimizing","Recovery is full of ups and downs, and it’s natural to encounter moments that feel especially challenging. Your lapse risk is high and increasing, which reflects the complexity of the journey you’re on—not a lack of progress or strength. Facing difficulties is a common part of this process, and it’s important to recognize that these experiences are valid. You’re navigating something many others have faced, and each day is an opportunity to keep moving forward."

# When generating three messages at a time with recent feedback mode on
# first message generated
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can be tough, and it’s completely normal to face challenges along the way. Your lapse risk is high right now, but it’s moving in the right direction and decreasing. These ups and downs are a natural part of the process, and they don’t take away from the progress you’ve made. Every step forward, no matter how small, is a sign of your strength and commitment."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can be tough, and it’s completely normal to face challenges along the way. Your lapse risk is high right now, but it’s moving in the right direction and decreasing. These ups and downs are a natural part of the process, and they don’t define your progress or strength. Every step forward, no matter how small, is a sign of your resilience and commitment."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can be tough, and it’s completely normal to face challenges along the way. Your lapse risk is high right now, but it’s moving in the right direction and decreasing. Feeling uncertain or struggling at times doesn’t mean you’re failing—it’s all part of the process. Every step forward, no matter how small, is a sign of your strength and commitment."
# second message generated
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery often comes with its share of challenges, and it’s important to remember that this is a natural part of the journey. Your lapse risk is high, but it’s decreasing, showing that positive changes are happening. Facing moments like this doesn’t mean you’re failing—it’s simply part of the process many people experience. Each day brings opportunities to grow, and the progress you’re making is real and meaningful."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery often comes with its share of challenges, and it’s important to remember that this is a natural part of the journey. Your lapse risk is high, but it’s decreasing, showing that positive changes are happening. Facing difficulties doesn’t take away from the progress you’ve made—it’s all part of growing stronger. Each moment you keep moving forward reflects your courage and determination."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery is a journey that often comes with ups and downs, and it’s natural to face challenges along the way. Your lapse risk is high, but it’s decreasing, showing that progress is happening. Experiencing difficulties doesn’t take away from the effort you’re putting in—it’s all part of growing and healing. Each day brings new opportunities to keep moving forward, and your hard work is making a difference."
# third message generated
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can bring ups and downs, and it’s completely normal to face challenges along the way. Your lapse risk is high and decreasing, which shows that things are moving in the right direction. These moments don’t define your journey—they’re just part of the process that many people go through. The steps you’re taking are making a difference, and your progress matters."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can bring moments of doubt and struggle, and it’s important to know that these experiences are a normal part of the process. Your lapse risk is high and decreasing, which shows that things are moving in the right direction. Challenges don’t define your journey—they’re simply part of the path toward lasting change. Every step forward is a reflection of your resilience and commitment."
"3","high","decreasing","0.0","neutral","Legitimizing","Recovery can bring moments that feel tough or uncertain, and it’s completely normal to experience these as part of the process. Your lapse risk is high and decreasing, which shows that things are shifting in a positive direction. Facing challenges doesn’t mean you’re failing—it’s a sign that you’re actively working through the complexities of change. Every step you take matters, and the progress you’re making is real and meaningful."
