"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing, and this reflects the strong cravings you have been managing. It is understandable to feel unsettled at times like this, because these experiences are a common part of the recovery process. It is okay to notice these cravings and the stress they bring, and there is no need to judge yourself for them. Your continued attention to your daily check‑ins shows steadiness during a challenging moment."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, which means you are moving in a positive direction even while things may still feel tough. Craving is a major part of what is affecting you today, and these cravings are a common experience during recovery. It is okay to feel this way, and these feelings do not take away from the progress you are making. Many people go through similar moments, and your experience fits within the normal path of recovery."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, which can happen during recovery and is a normal part of the process. Craving is playing a meaningful role in this change, and it is understandable to experience this even when overall progress is strong. It is okay to notice these feelings, as they are common and do not take away from the work you have been doing. Your experiences today fit within what many people face on their recovery journey."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing, and craving is playing a strong role in this change today. Even with these challenges, your past efforts show that you have the strength and skills to keep moving forward. You have already shown the ability to face difficult moments, and those same abilities remain with you now. Holding onto that confidence can support the steady progress you have been making."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows progress in your daily efforts. Craving is playing a strong role in this risk today, yet your past actions show that you know how to handle moments like this. You have the strength and skills that help you move through challenges with steady focus. Your continued commitment is an encouraging sign of what you are capable of achieving."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and today it appears that cravings are playing a meaningful role in that change. Even with this shift, your steady effort shows that you have the skills to continue moving forward. Each time you acknowledge cravings and stay on your path, you reinforce your ability to handle moments like these. Your progress reflects real strength and capability."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing, and this appears to be influenced in part by the cravings you have been facing. These cravings can take a lot of energy, and it makes sense that they may feel stronger on days like this. Your experiences are recognized, and your feelings deserve space and attention as you move through the day. Taking a moment to notice these emotions may help you understand what you need right now."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this change reflects the effort you have been putting in. Craving is playing a strong role in your current risk, and it is understandable that this may feel challenging at times. Your feelings and experiences are recognized, including the moments when cravings feel stronger than usual. Take a moment to notice how you are feeling today and allow yourself to reflect on what this means for you."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and craving appears to be a meaningful part of that change. It makes sense that cravings can bring up many feelings, and your recent experiences have been noted with care. Your efforts to stay aware of these emotions are important, and you are encouraged to take a moment to reflect on what the past day has been like for you. Your continued attention to your own well‑being is recognized."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and cravings are playing a strong role in that change today. This may be a good time to pause and think about the people, goals, and personal values that guide your choices each day. Focusing on what matters most to you can help you stay connected to the reasons you keep moving forward. Your steady attention to these values shows real commitment to the life you want to build."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing, which shows some steady progress. Craving is playing a meaningful role in this risk today, and noticing that pattern can help you understand your current path. This may be a good moment to reconnect with the parts of your life that matter most and the reasons you keep moving forward. Holding on to those values can bring a sense of direction as you continue through the day."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and this rise appears to be linked to recent moments of craving. It may be helpful to take a quiet moment to reconnect with the values and goals that guide your daily choices. Many people find strength in remembering the relationships, activities, and hopes that matter most to them. Holding those priorities in mind can support the steady progress you are making today."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing, and this pattern is often linked to the strong cravings you reported. Many people in recovery experience similar moments, and these feelings are more common than they may seem. Others have faced the same challenges and found that these moments can pass with time. Your awareness of what you are facing today reflects the same strength shown by many who have walked this path."
"2","high","decreasing","1.0","formal","Norms","Your lapse risk is high and decreasing, and this positive change shows progress in your day. Craving is playing a strong role in your risk today, and many people working toward recovery face similar moments. These experiences are common among others who have walked this path. You are moving forward at a steady pace, and today reflects that effort."
"3","low","increasing","1.0","formal","Norms","Your lapse risk is low and increasing, and this change appears to be linked to the craving you reported. Many people in recovery experience moments like this, and these feelings are a common part of the process. Others have faced similar cravings and continued moving forward at their own pace. Your awareness of these patterns is a meaningful part of staying engaged with your goals."
"1","high","increasing","1.0","informal","Legitimizing","Your lapse risk is high and increasing right now, and a big part of that is the craving you have been dealing with. Feeling this way is a real part of the process, and many people go through stretches like this. It is okay to notice these cravings and the stress they bring without blaming yourself. You are moving through a tough moment, and it makes sense that it feels challenging."
"2","high","decreasing","1.0","informal","Legitimizing","Your lapse risk is high and decreasing, which can happen during times when cravings show up more often. Feeling those cravings can be tiring, but they are a normal part of this process. It is okay to feel pulled in different directions while you work through this. What you are dealing with makes sense, and it deserves room to be acknowledged."
"3","low","increasing","1.0","informal","Legitimizing","Your lapse risk is low and increasing, and it makes sense that cravings are playing a part in that shift. Cravings can pop up even when things are going well, and having them is a normal part of this process. It is okay to feel thrown off by them, and your experience does not take away from the work you have been doing. You are moving forward even on days that feel a bit uneven."
"1","high","increasing","1.0","informal","SelfEfficacy","Your lapse risk is high and increasing, so it makes sense that things might feel a bit tense today. Craving is playing a big role in that risk, but you’ve handled moments like this before with real strength. You’ve put in a lot of work to build the skills that help you stay steady, and those skills are still there for you now. Keep leaning on what you already know you can do, because you’ve shown more than once that you can push through tough stretches."
