"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing, and this pattern often appears during certain points in the recovery process. Craving is playing a major role in this shift, and experiences of this kind are a familiar part of the journey for many people in similar situations. It is okay for phases like this to occur, and they can be understood as a normal part of ongoing change. This moment can be recognized without judgment, simply as one step in a longer process."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, and this pattern fits within what is often seen during recovery. Craving is a significant contributor to this risk, and experiences of this kind are an expected part of the process. It is acceptable for such experiences to occur as recovery unfolds. This update is intended to keep you informed as each day brings new information about your progress."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this change is linked in part to the impact of craving. Experiences like this often arise during recovery, and they are a recognized part of the process. It is okay for these moments to occur, and they do not lessen the progress made so far. This update is offered to help you stay aware of what is happening as you continue forward."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing, and craving is playing a major role in that pattern today. Even so, your efforts show that you have the strength to keep moving forward. The skills you have built can support you as you continue through the day. Each step you take demonstrates your ability to manage challenges and stay on your recovery path."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows important progress at this time. Craving is playing a major role in your risk today, and noticing this influence is a strong step. You have shown the ability to keep moving forward through difficult moments. Your steady effort reflects real skill and persistence that continue to support your recovery."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and cravings are playing a role in that change today. Your steady progress shows strong personal skills that continue to guide you forward. Each step you take reflects your ability to manage challenges with purpose. Your commitment remains a powerful asset as you move through the day."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing today, and this pattern appears to be linked to stronger craving. This rise may reflect the strain you reported, and your experience is noted. Your feelings and reactions matter here, and you are invited to take a moment to reflect on them in your own way. This message is meant to keep you aware of what is happening for you right now."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this change reflects the challenges you have been navigating. Craving is playing a significant role in this risk, and your recent responses indicate how present this experience has been for you. Your feelings around these moments have been noted with care, and your continued awareness of them is important. Taking a moment to recognize what you have been experiencing may offer clarity as you move through the day."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change appears to be influenced in part by the cravings you reported. The experiences you noted have been taken into account, and your feelings are recognized as an important part of your day. Your report offers a clear picture of what you have been dealing with recently. Taking a moment to notice these emotions may help you understand how they are affecting you."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and craving is playing a major part in that change. It may help to pause and think about the parts of your life that hold the most meaning to you. These values can offer a clear picture of what you want to protect as you move through today. Holding those priorities in mind can guide your next steps in a steady way."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing, and current data shows that craving is playing a strong role in that risk today. It may be helpful to reflect on the values and goals that guide your choices and give direction to your days. Focusing on what holds deep importance in your life can offer a clear sense of where you want to continue investing your energy. Keeping those priorities in mind may support the path you intend to follow."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and this change is linked to the influence of craving. It may be helpful to pause and reflect on the parts of your life that give you a sense of direction or purpose. These personal values can offer a steady point of focus as you move through today. Holding those priorities in mind can support the choices you wish to keep close."
