"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing today, and this pattern is connected to the cravings you reported. These kinds of cravings can naturally rise at times, and experiencing them is a common part of the recovery process. It is fully acceptable to notice these feelings and acknowledge how strong they can seem. Your experience today fits within what many people go through as they continue working toward their goals."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, and this shift shows that your efforts are making a difference. Craving is playing a strong role in your risk today, and feeling its pull is a common part of recovery. It is okay to experience these feelings because they are a normal part of this process. Many people notice similar moments, and your awareness of them is an important part of moving forward."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this change appears to be linked to the cravings you reported. Cravings can be uncomfortable, yet they are a common part of recovery and do not mean you are doing anything wrong. It is completely okay to notice these feelings and to acknowledge them as part of your experience. Many people move through similar moments, and your continued awareness shows steady engagement with your recovery."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing today, and cravings appear to be playing a strong role in that shift. Even with these challenges, you have shown that you can face difficult moments and continue on your path. The progress you have made reflects real strength, and those skills remain with you now. Your steady effort is a powerful sign of what you are capable of achieving."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows progress in a challenging moment. Craving is playing a major role today, yet you have shown strong skills in handling moments like this. Your steady effort reflects the kind of strength that supports continued recovery. Each step forward highlights your ability to keep moving with confidence."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, which shows that things are generally steady even as cravings play a role today. This pattern highlights how much effort you have already put into your recovery. You have shown strong skills in handling moments like this, and those same skills can help you keep moving toward your goals. Your progress reflects real capability and strength."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing, and this is linked in part to the cravings you reported. These cravings can take up a lot of space in your day, and it makes sense that they may feel strong right now. Your experiences have been noted, and your feelings deserve a moment of calm attention. Taking time to reflect on what you are dealing with today may help you understand what is weighing on you."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this reflects the effort you have been putting in. Craving is playing a strong role in how things feel today, and it makes sense that this might weigh on you. These feelings are recognized, and your openness about them matters. Taking a moment to notice your emotions may help you understand what today has been like for you."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change appears connected to the cravings you noted. Your recent feelings have been recognized, and your openness about them is appreciated. It may help to take a moment to notice how these cravings have shown up for you today. Your continued attention to your emotions is an important part of understanding your experience."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing today, and cravings are playing a strong role in that shift. This may be a good time to pause and recognize what truly matters most in your life, because those values continue to guide the direction you are working toward. Many people find strength in remembering the relationships, goals, or personal hopes that keep them moving forward. Holding these important parts of your life in mind can help steady your focus as you move through the day."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing, and this shift shows meaningful progress even while cravings continue to play a major role today. Craving can feel strong, yet your steady movement toward lower risk reflects the effort you have already invested. It may help to take a moment to think about the people, goals, or values that guide your choices and give your days purpose. Holding those important parts of your life in mind can support the direction you are already moving in."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and this change appears to be influenced in part by recent craving. This shift may be a helpful moment to pause and think about the people, goals, or values that guide your choices each day. Returning your focus to what matters most can strengthen the direction you are already moving in. Your steady effort continues to reflect the reasons you keep going."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing, and cravings are playing an important role in that change today. Many people in recovery face periods when urges rise, and their experiences often look a lot like what you are feeling now. These shared challenges show that your reactions are common among others working toward similar goals. Your steady attention to your recovery continues to be meaningful as you move through this moment."
"2","high","decreasing","1.0","formal","Norms","Your lapse risk is high and decreasing, which shows some movement in a helpful direction. Craving is playing a noticeable role in this risk today. Many people in recovery experience similar cravings at different points, and these moments are more common than they may seem. Others have faced comparable challenges and moved forward, and your experience fits within what many have gone through."
"3","low","increasing","1.0","formal","Norms","Your lapse risk is low and increasing, which is important to notice today. Craving is playing a meaningful role in this change, and many people in recovery have faced similar moments. These experiences are common, and others have worked through feelings like these while continuing on their path. You are part of a larger group of individuals who have met these challenges and kept moving forward."
"1","high","increasing","1.0","informal","Legitimizing","Your lapse risk is high and increasing, and craving is playing a big part in that today. It makes sense if things feel tough right now because cravings can hit hard and leave anyone feeling worn down. What you are feeling is a normal part of this process, and it is okay to have days like this. Many people go through moments like these, and it does not take away from the effort you have been putting in."
"2","high","decreasing","1.0","informal","Legitimizing","Your lapse risk is high and decreasing, which shows things are moving in a better direction even if it still feels tough right now. Craving is playing a big role today, and it makes sense that it would hit hard at times. It is okay to feel this way because cravings are a normal part of the process. You are not doing anything wrong by having these moments, and many people go through the same thing."
"3","low","increasing","1.0","informal","Legitimizing","Your lapse risk is low and increasing, and it makes sense if that feels a bit confusing or frustrating. Craving is playing a big part in this change, and it is completely normal to have moments like this along the way. Lots of people in recovery feel the same mix of emotions, and it is okay to be right where you are. You deserve some patience with yourself as you move through days like this."
"1","high","increasing","1.0","informal","SelfEfficacy","Your lapse risk is high and increasing, and cravings are playing a big part in that today. Even with things feeling tougher right now, you’ve already shown you can handle moments like this. The ways you’ve pushed through in the past are still with you, giving you real strength to lean on. Keep trusting in those skills, because they’re part of what gets you through days like this."
"2","high","decreasing","1.0","informal","SelfEfficacy","Your lapse risk is high and decreasing, and that drop shows the effort you have been putting in. Craving is playing a big part in your risk today, but you have handled moments like this before and come out stronger. You carry real skills that help you stay steady, even when the pull feels tough. Keep trusting in what you can do because you have already shown how capable you are."
"3","low","increasing","1.0","informal","SelfEfficacy","Your lapse risk is low and increasing, and cravings played a part in that change today. Even with that bump, you’ve shown you can handle moments like this. You’ve worked hard to build skills that help you stay steady, and those same strengths are still with you. It’s clear you have what it takes to keep moving forward."
"1","high","increasing","1.0","informal","Acknowledging","Your lapse risk is high and increasing, and it makes sense if that feels tough to sit with right now. Craving is playing a big part in this, and it sounds like it has been weighing on you in a real way. Your feelings are heard, and they matter here. Take a moment to notice what this brings up for you, and let yourself move through it at your own pace."
"2","high","decreasing","1.0","informal","Acknowledging","Your lapse risk is high and decreasing today, and that progress shows some real effort. Craving is playing a big role right now, and it makes sense if things feel a bit tense or draining. The way you’ve been showing up is noticed, and your feelings come through clearly. Take a moment to reflect on what the day has been like for you, and give yourself credit for hanging in there."
"3","low","increasing","1.0","informal","Acknowledging","Your lapse risk is low and increasing, and it seems like craving is playing a part in that today. It makes sense if those cravings stirred up some mixed feelings, and it sounds like you’ve been staying aware of them. Your effort to notice what is going on inside you really comes through. Take a moment to recognize how you’ve been handling all of this with honesty."
"1","high","increasing","1.0","informal","ValueAffirmation","Your lapse risk is high and increasing, and cravings are playing a big part in that today. It might help to pause for a moment and remember what matters most to you, the people and goals that keep you moving forward. You have worked hard to stay connected to those things, and they can give you strength right now. Holding on to what you value can make this moment feel a bit more steady."
"2","high","decreasing","1.0","informal","ValueAffirmation","Your lapse risk is high and decreasing, and a big part of that risk today comes from the cravings you mentioned. Even with those cravings showing up, you’ve kept moving forward, which says a lot about what matters to you. Take a moment to remember the people and goals that keep you going, because they have helped guide you through days like this. Your progress is real, and staying close to what you care about can make the next step feel a little steadier."
"3","low","increasing","1.0","informal","ValueAffirmation","Your lapse risk is low and increasing, and cravings are playing a noticeable role today. It might help to pause for a moment and think about the people and goals that matter most to you, since those are the things that keep you moving forward. You have already shown a lot of strength by staying connected to what you care about. Holding on to those values can give today a steady, grounded feeling."
"1","high","increasing","1.0","informal","Norms","Your lapse risk is high and increasing right now, and cravings are playing a big part in that. Many people in recovery go through days like this, and your experience fits right in with what others have faced. Others have felt strong cravings too, and they found that the feelings shifted with time. You are moving through something familiar to many, and you are not alone in it."
"2","high","decreasing","1.0","informal","Norms","Your lapse risk is high and decreasing, and cravings are a big part of it today. Lots of people in recovery go through the same kind of pull, so you are not dealing with anything unusual. Many others have felt these cravings too, and they kept moving forward even when things felt tough. Your steady progress shows that you are moving in the same direction."
