"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is important to recognize that challenges like the ones you are experiencing are a natural part of the recovery process. Your lapse risk is high and increasing, which reflects the complexity of this journey rather than any personal failing. Recovery often involves ups and downs, and encountering moments of heightened risk does not diminish your progress or potential for success. You are not alone in this experience, and your commitment to continuing forward is what truly matters."
"2","high","decreasing","0.7","formal","Legitimizing","It is entirely natural to encounter challenges during recovery, and it is important to recognize that these moments are a part of the process for many. Your lapse risk is high and decreasing, which reflects the progress you are making in navigating these difficulties. This change shows that the effort you are putting into your recovery is having a positive impact, even when the path feels uncertain. Remember, recovery is a journey that unfolds step by step, and facing challenges is a sign of your commitment to growth."
"3","low","increasing","0.7","formal","Legitimizing","It is important to recognize that recovery is a journey, and fluctuations in risk levels are a natural part of the process. Your lapse risk is currently low and increasing, which is a valid and expected experience as you continue working toward your goals. Facing these shifts does not reflect a failure but rather highlights the dynamic nature of recovery. Acknowledging these moments with self-compassion can help reinforce your progress and commitment."
"4","low","decreasing","0.7","formal","Legitimizing","It is completely normal to encounter challenges and strong feelings during recovery, as this journey is unique for everyone. Your lapse risk is low and decreasing, which reflects the progress you have been making. These moments of growth and reflection are an important part of the process, and your efforts are clearly moving you in a positive direction."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, which can feel like a heavy weight to carry. This is a challenging moment, but it’s important to remember that challenges like this are a part of the recovery process, not a reflection of your strength or worth. You are not alone in this—support is here to help you navigate these feelings and stay connected to your goals. Every step forward, no matter how small, is an important part of your journey."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and moving in a positive direction as it continues to decrease. This change reflects the effort you’ve been putting into your recovery, and it’s important to recognize the progress you’ve made. Recovery can have its challenges, but you are not alone in this process. This app is here to provide support and encouragement as you navigate your path forward."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and increasing. This change is a reminder that recovery can have its ups and downs, and that’s completely okay. It’s important to know you’re not alone in this process—this app is here to offer support and encouragement as you continue moving forward. Each step you take is a step toward building a healthier, more balanced life."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is low and continuing to decrease, which reflects the progress you are making in your recovery journey. This is a meaningful step, and it speaks to your commitment and the strength you are building each day. Please know that you are not alone on this path—this app is here to support you and provide encouragement as you move forward. Your well-being is important, and this process is about taking things one step at a time."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and has been increasing, but it’s important to recognize the strengths you bring to your recovery journey. You have the ability to engage with the tools and resources available here, and your commitment to using this app shows your dedication to your goals. Recovery is built on perseverance, and you’ve already demonstrated that you can face challenges with determination. Trust in your capacity to keep moving forward and make choices that support your progress."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and decreasing, which reflects the progress you are making. This shows your ability to engage with the tools and strategies that support your recovery. By continuing to focus on your strengths and the steps you’ve already taken, you are building resilience and reinforcing your ability to navigate challenges. Trust in your capacity to stay consistent, as your efforts are clearly making a difference."
"3","low","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently low and increasing. This is a great time to remind yourself of the strengths and skills you’ve developed to support your recovery. You’ve shown the ability to use the tools available to you and overcome past challenges, which speaks to your dedication and resilience. Staying engaged with the app can help you continue building on your progress and maintain the momentum you’ve already created."
"4","low","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is low and continuing to decrease, which reflects your strong commitment to your recovery. This progress highlights your ability to stay consistent and use your strengths to overcome challenges. Your dedication to engaging with the tools and resources available is clearly paying off, and you are building a solid foundation for continued success. Keep trusting in your ability to navigate this journey with confidence."
"1","high","increasing","0.7","formal","Acknowledging","Your lapse risk is currently high and increasing, which may feel challenging or concerning. It’s understandable if this brings up feelings like worry, frustration, or uncertainty about your path forward. These emotions are valid, and reflecting on them can help you better understand what might be influencing your risk right now. Taking time to explore your thoughts and feelings in this moment could offer clarity and allow space for positive growth."
"2","high","decreasing","0.7","formal","Acknowledging","It appears that your lapse risk is currently high but moving in a positive direction, as it is decreasing. This shift may bring a mix of emotions—perhaps relief from seeing progress, or lingering concerns about the challenges you are facing. It’s understandable if this feels like a complex moment, balancing hope with ongoing effort. Taking time to reflect on what this change means to you could provide valuable insight into your journey."
"3","low","increasing","0.7","formal","Acknowledging","Your lapse risk is currently low and increasing, which may bring up a mix of emotions for you. It’s understandable to feel confident in your progress while also noticing subtle changes that might feel concerning or uncertain. These shifts can be an opportunity to gently check in with yourself and explore what might be contributing to them. Recognizing how you're feeling and reflecting on this moment can be a meaningful part of your growth."
"4","low","decreasing","0.7","formal","Acknowledging","It seems that the progress you’ve been making is reflected in your current lapse risk, which is low and continuing to decrease. This might bring a sense of reassurance or even pride in how your efforts are shaping your recovery journey. Perhaps there’s a feeling of steadiness or calm that comes with this shift, or maybe it’s sparking a quiet confidence in the path you’re on. Whatever emotions come up for you in this moment, they are an important part of your experience and worth exploring with care."
"1","high","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and increasing, which makes this an important moment to reconnect with what truly matters to you. Whether it’s your relationships, your health, or your personal goals, every step you take in recovery supports the life you want to build. Engaging with this app can help you stay aligned with those deeper priorities, providing tools to strengthen your sense of purpose and resilience. You’ve already shown the courage to work toward lasting change, and that commitment reflects the values you hold dear."
"2","high","decreasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and decreasing, which shows the positive impact of the efforts you’ve been making. This progress reflects your commitment to what truly matters in your life, whether that is your family, your health, your career, or your personal sense of well-being. Every step you take toward recovery strengthens your ability to be present for the people and goals that give your life meaning. Staying engaged with this process helps you continue building a future that aligns with your deepest values."
"3","low","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently low and increasing. This is a meaningful opportunity to reflect on the values that guide your life, whether that’s your family, your health, or your personal growth. Engaging with this recovery process helps you protect and strengthen those priorities, keeping you aligned with what matters most. Staying connected to your deeper purpose can support the progress you’ve worked so hard to achieve."
