"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is important to recognize that recovery can come with moments of difficulty, and your lapse risk is currently high and increasing. These challenges are a normal part of the healing process and do not define your progress or commitment. What you are experiencing is valid, and encountering periods of heightened risk is something many people face. Remember that each step you take, no matter how small, is part of your journey forward."
"1","high","increasing","0.7","formal","Legitimizing","Recovery often includes times when risks and challenges feel bigger, and your lapse risk is currently high and increasing. This is a common part of the process, and it does not take away from the progress you’ve made or your capacity to keep moving forward. Experiencing periods like this is a normal part of healing, and they don’t define your journey. Every effort you’ve put into your recovery matters and continues to shape your path ahead."
"1","high","increasing","0.7","formal","Legitimizing","Periods of increased risk, like the one you are experiencing now with a high and increasing lapse risk, are a recognized part of the recovery process. These moments are not a reflection of your strength or dedication but rather a natural phase many encounter on this journey. It’s important to acknowledge that facing these challenges is part of how progress unfolds over time. Your commitment to recovery remains significant, and the work you’ve done continues to support you as you navigate this stage."
"1","high","increasing","0.7","formal","Legitimizing","A high and increasing lapse risk, like the one you are facing now, is an expected part of the recovery journey for many individuals. These shifts in risk are a reminder that recovery is a process that naturally includes ups and downs. Experiencing challenges like this does not diminish the effort you’ve put in or the progress you’ve made. Each step forward, even during difficult times, strengthens the foundation of your recovery."
"2","high","decreasing","0.7","formal","Legitimizing","It is entirely normal to encounter challenges during recovery, and it is important to recognize that these experiences are a natural part of the process. Your lapse risk is currently high and decreasing, which reflects the hard work you are putting into navigating this complex journey. Facing moments like these is a sign of your ongoing commitment, and it’s a reminder that progress can take different forms over time."
"2","high","decreasing","0.7","formal","Legitimizing","It is a natural part of recovery to face difficulties, and these moments are a valid part of the healing process. Your lapse risk is high and decreasing, which shows that positive momentum is building as you continue to work through this stage. These experiences demonstrate your resilience and the courage it takes to stay engaged with your recovery."
"2","high","decreasing","0.7","formal","Legitimizing","Recovery often includes periods of challenge, and encountering these is a meaningful part of the process. Your lapse risk is high and decreasing, reflecting the progress you are making as you navigate this stage. Each step forward is a testament to your strength and the effort you are putting into your journey."
"2","high","decreasing","0.7","formal","Legitimizing","It is entirely normal for recovery to bring moments of difficulty, as these are a natural part of the healing process. Your lapse risk is high and decreasing, which indicates that positive changes are unfolding as you continue to work through this phase. Recognizing and addressing challenges shows resilience and dedication, both of which are key to growth and progress."
"3","low","increasing","0.7","formal","Legitimizing","It is natural to face shifts and uncertainties during the recovery process, and these experiences are an expected part of growth. Your lapse risk is currently low and increasing, which reflects the dynamic nature of recovery. This does not diminish the progress you have made, nor does it define your path forward. Each moment is an opportunity to continue building resilience and strength."
"3","low","increasing","0.7","formal","Legitimizing","Recovery is a journey that often includes periods of change and adjustment, all of which are a valid part of the process. Your lapse risk is low and increasing, a reminder that recovery can ebb and flow as you navigate this path. These shifts are a natural part of healing, reflecting the complexity of personal growth. Every step forward contributes to the foundation you are building for lasting progress."
"3","low","increasing","0.7","formal","Legitimizing","Recovery is a process that naturally involves ups and downs, each playing a role in your development. Your lapse risk is low and increasing, which is a normal pattern as you continue to adapt and grow. These changes are a common part of recovery and do not diminish the progress you have made. Acknowledging these fluctuations can be an important way to honor the work you are doing on this path."
"3","low","increasing","0.7","formal","Legitimizing","Recovery often includes periods of shifting risk, which are an expected and natural part of the journey. Your lapse risk is currently low and increasing, reflecting the dynamic nature of growth and change in this process. These patterns are valid and do not take away from the meaningful progress you are achieving. Each step forward, even through challenges, is a valuable part of building resilience and sustaining recovery."
"4","low","decreasing","0.7","formal","Legitimizing","It is entirely natural to face challenges and have moments of doubt during recovery, as this process can bring up a wide range of feelings and experiences. Your lapse risk is low and continuing to decrease, which reflects the steady progress you are making. These moments of growth are a testament to your commitment, and it’s important to recognize that recovery is a journey that unfolds over time."
"4","low","decreasing","0.7","formal","Legitimizing","It is perfectly valid to encounter ups and downs during recovery, as this journey often involves navigating a variety of experiences. Your lapse risk is low and decreasing, which demonstrates the positive direction your efforts are taking. Each step forward, no matter how small it may seem, contributes to the strength and resilience you are building over time."
"4","low","decreasing","0.7","formal","Legitimizing","Recovery is a process that naturally includes moments of challenge and uncertainty, and these experiences are a normal part of the journey. Your lapse risk is low and continuing to decrease, which reflects the steady progress you are making. This positive trend highlights the resilience you are cultivating as you navigate each day with intention and commitment."
"4","low","decreasing","0.7","formal","Legitimizing","It is entirely valid to encounter challenges and uncertainties during recovery, as these are natural parts of the process. Your lapse risk is low and steadily decreasing, which underscores the meaningful strides you are making on this path. This progress is a testament to your dedication and the strength you are building as you move forward."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and increasing, which may mean you are facing some added challenges right now. This is a time to approach yourself with care and compassion, as recovery can sometimes feel harder on certain days. It’s important to remember that you are not alone in this process—support is here to help you navigate through these moments. Every step you take matters, and this app is here to stand with you on your recovery journey."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and increasing, which indicates that things may feel especially difficult right now. This is an opportunity to focus on showing yourself understanding and patience, as recovery often comes with ups and downs. You are not alone in facing these challenges—this app is here to provide support and encouragement as you work through this moment. Each effort you make is meaningful, and your progress is always valued."
"1","high","increasing","0.7","formal","Caring/Supportive","Your current lapse risk is high and increasing, which reflects the challenges you may be encountering at this time. It is important to acknowledge the courage it takes to face these moments and continue moving forward. Recovery is a journey that can include difficult stretches, and you are supported every step of the way. This app is here to offer encouragement and resources to help you navigate this phase with care and strength."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, which suggests this may be a particularly challenging time for you. This moment is an opportunity to recognize your resilience and the effort you’ve already invested in your recovery. Every part of your journey matters, and it’s okay to lean on support when things feel tough. This app is here to stand with you and provide tools and encouragement as you move forward."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your current lapse risk is high, but it is decreasing, which shows positive movement in your recovery journey. This is a challenging time, and it’s important to acknowledge the effort you are putting into moving forward. Please know that you are not alone in this process—support is here for you every step of the way. Your progress, no matter how small it may feel, is a meaningful part of building a stronger foundation in your recovery."
