"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","Recovery often includes times when risks and challenges feel bigger, and your lapse risk is currently high and increasing. This is a common part of the process, and it does not take away from the progress you’ve made or your capacity to keep moving forward. Experiencing periods like this is a normal part of healing, and they don’t define your journey. Every effort you’ve put into your recovery matters and continues to shape your path ahead."
"2","high","decreasing","0.7","formal","Legitimizing","It is a natural part of recovery to face difficulties, and these moments are a valid part of the healing process. Your lapse risk is high and decreasing, which shows that positive momentum is building as you continue to work through this stage. These experiences demonstrate your resilience and the courage it takes to stay engaged with your recovery."
"3","low","increasing","0.7","formal","Legitimizing","Recovery is a journey that often includes periods of change and adjustment, all of which are a valid part of the process. Your lapse risk is low and increasing, a reminder that recovery can ebb and flow as you navigate this path. These shifts are a natural part of healing, reflecting the complexity of personal growth. Every step forward contributes to the foundation you are building for lasting progress."
"4","low","decreasing","0.7","formal","Legitimizing","It is perfectly valid to encounter ups and downs during recovery, as this journey often involves navigating a variety of experiences. Your lapse risk is low and decreasing, which demonstrates the positive direction your efforts are taking. Each step forward, no matter how small it may seem, contributes to the strength and resilience you are building over time."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high and increasing, which indicates that things may feel especially difficult right now. This is an opportunity to focus on showing yourself understanding and patience, as recovery often comes with ups and downs. You are not alone in facing these challenges—this app is here to provide support and encouragement as you work through this moment. Each effort you make is meaningful, and your progress is always valued."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your current lapse risk is high, though it is continuing to decrease, which reflects the progress you are making. These moments can feel difficult, but it’s clear that you are taking steps toward positive change. Support is here to help you navigate this part of your recovery, and your efforts are an important part of moving toward greater stability and strength. Every step forward is a testament to the resilience you bring to this journey."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk remains low, though it is showing an upward trend. This highlights the importance of staying connected to the strengths and strategies that have supported your progress so far. Every step you’ve taken matters, and facing moments like this with self-compassion can make a big difference. This app is here to walk alongside you, offering support and resources to help you maintain your recovery."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and continues to decrease, signaling the positive strides you are making in your recovery. This progress is a testament to your commitment and the resilience you are showing each day. Please remember, this app is here to support you along the way, offering resources and care whenever you need them. You are taking meaningful steps toward a healthier and more stable future."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is high and increasing, which highlights the importance of drawing on the strengths you have already developed. The progress you have made shows that you possess the determination and skills needed to face challenges head-on. By continuing to engage with the app, you are actively reinforcing your ability to stay on track. Trust in your capacity to navigate this moment and keep building toward the long-term success you are working so hard to achieve."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is high and decreasing, which indicates that you are making meaningful strides in your recovery. This progress showcases your determination and your ability to use the tools and resources at your disposal. By staying engaged and building on the progress you've already made, you are proving your capability to navigate challenges and stay focused on your goals. Your consistent efforts reflect your strength and commitment to this journey."
"3","low","increasing","0.7","formal","Self-Efficacy","Your lapse risk remains low, though it has been gradually increasing. This change highlights an opportunity to draw on the strengths you’ve already shown in managing your recovery. Your ability to stay engaged with the app’s features and build on previous successes reflects your resilience and capacity to adapt. You are equipped to continue making steady progress and addressing challenges with confidence."
"4","low","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is low and steadily decreasing, which highlights the dedication and resilience you are bringing to your recovery. This progress reflects your ability to engage with the resources available and make choices that support your goals. You have shown the capability to stay consistent and build on your past successes in meaningful ways. Your commitment continues to be a powerful asset as you move forward."
"1","high","increasing","0.7","formal","Acknowledging","Your lapse risk is high and increasing, which might be stirring up a mix of emotions, such as unease or disappointment. It’s worth acknowledging that navigating these moments can be emotionally complex and perhaps even exhausting. If you find yourself feeling weighed down, reflecting on what feels most pressing or significant to you right now could bring clarity to your experience. This could be an opportunity to better understand the emotional layers involved and recognize what feels most supportive to you in this moment."
"2","high","decreasing","0.7","formal","Acknowledging","Your lapse risk is currently high, though it is moving in a positive direction as it continues to decrease. This progress may stir a range of emotions—perhaps a sense of cautious optimism alongside the weight of staying mindful in your recovery. It’s valid to acknowledge both the strides you’ve made and any feelings that arise as you navigate this phase. Taking time to explore these emotions can help bring clarity to how these changes are shaping your journey."
"3","low","increasing","0.7","formal","Acknowledging","Your lapse risk is presently low and increasing, which might lead to a range of emotions as you navigate your recovery. You may find yourself feeling assured about your current stability, while also becoming more aware of gradual changes that could feel uncertain or thought-provoking. These shifts may open the door to deeper self-reflection about your feelings and experiences, allowing you to better understand how they connect with the path you're on. Every emotion you encounter holds value and deserves your attention as part of your growth."
"4","low","decreasing","0.7","formal","Acknowledging","Your lapse risk remains low and is steadily decreasing, which highlights the dedication and consistency you’ve brought to your recovery. This might evoke a sense of calm or confidence, as these shifts reflect the care you’ve been giving to yourself and your goals. If emotions surface—whether they feel steady, uplifting, or even complex—recognizing them with curiosity could deepen your understanding of your journey. Allowing space for these feelings can be a valuable way to stay connected to your progress."
"1","high","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and increasing. This is an opportunity to remind yourself of the meaningful priorities in your life, such as nurturing relationships, pursuing personal goals, or maintaining your health. Engaging with tools like this app helps you stay focused on these values and builds a stronger foundation for the future you want. Every effort you make today reflects your commitment to what truly matters to you."
"2","high","decreasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and decreasing, indicating positive momentum in your recovery journey. This progress supports the values that matter most to you, whether that’s fostering meaningful relationships, preserving your health, or achieving personal goals. By staying engaged with tools like this app, you are actively strengthening your connection to those priorities and creating a path toward greater stability and fulfillment. Each step you take reflects your dedication to building the life you envision."
"3","low","increasing","0.7","formal","Value Affirmation","Your lapse risk remains low but has been gradually increasing. Reflecting on the values that drive you—such as your relationships, career, or well-being—can help you see how your recovery supports what matters most in your life. Using the app is one way to stay connected to those priorities and continue building the stability and balance that allow those values to thrive. Every effort you make reinforces your dedication to the meaningful life you’re working toward."
