"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is entirely valid to encounter difficulties and uncertainties during recovery, as these are common aspects of making meaningful changes. Your lapse risk is currently high and increasing, which reflects the natural ebb and flow of this process rather than a personal shortcoming. These periods of heightened risk serve as reminders of the effort and strength required in recovery, reinforcing the importance of self-compassion as you continue on this path. Recognizing that challenges are a normal part of growth can help you maintain focus on the progress you are making."
"2","high","decreasing","0.7","formal","Legitimizing","Recovery often involves navigating periods of heightened risk, and it is important to understand that facing such challenges is a common and natural part of this journey. Your lapse risk is high and decreasing, which indicates positive movement despite the complexity of the process. These patterns are a normal aspect of recovery and do not diminish the strength and effort you are putting in to continue progressing."
"3","low","increasing","0.7","formal","Legitimizing","Your lapse risk is low and increasing, which aligns with the natural ebb and flow of the recovery process. It is entirely normal to encounter periods where risks shift, as recovery involves navigating a wide range of experiences. These changes do not diminish the progress you have made or your ability to continue building a healthier future. Each step you take contributes to your growth and resilience."
"4","low","decreasing","0.7","formal","Legitimizing","Recovery often involves facing challenges that are a natural and expected part of the healing process. Your lapse risk is low and continues to decrease, indicating the steady progress you are making. These shifts show how recovery can include moments of difficulty while still moving forward in powerful and constructive ways. Each effort you put into this process reinforces your resilience and builds momentum for lasting change."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, signaling a challenging phase in your recovery. It’s important to recognize the effort you’ve put into reaching this point, as every moment of commitment builds resilience. These risks are part of the process, not a reflection of your ability to succeed, and your determination remains a powerful force. Staying focused on your progress can help you continue moving toward the positive changes you’ve been working toward."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high but showing a steady decrease, indicating positive movement toward regaining stability in your recovery. This reflects the strength and determination you are applying to face difficulties, and that commitment is commendable. Recovery is a journey that evolves over time, and it’s worth acknowledging the progress you are making as you continue to move forward. Your efforts are significant and contribute to building a foundation for lasting change."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and increasing, which highlights an opportunity to stay mindful of your needs during this time. Recovery is a journey that includes moments of growth and learning, and every step you take matters. It’s clear that you’ve been working hard, and it’s important to recognize the resilience you’ve shown so far. This app is here to offer support and encouragement as you continue moving forward."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and continuing to decrease, highlighting the steady progress you are achieving in your recovery. This positive trend reflects the resilience and commitment you are demonstrating in building healthier habits. Each step forward is reinforcing your ability to maintain this momentum. This app is here to offer support as you navigate your path to lasting change."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and increasing, but your resilience and determination have been evident throughout your recovery journey. You have shown that you can engage with supportive tools and apply your strengths to overcome challenges. By continuing to utilize the app’s features and building on the progress you’ve already made, you have the capability to navigate this moment and stay committed to your goals."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and decreasing, indicating that you are moving in a positive direction. This progress highlights your ability to use the tools available to you and face challenges with determination. By staying engaged and tapping into your strengths, you are showing real growth and a capacity to keep building on your recovery journey."
