"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","Your lapse risk is currently high and increasing, which is a common pattern during recovery and does not define your progress or strength. Recovery is a complex process, and moments like this often reflect the meaningful efforts you're making toward change. Facing heightened risk is part of the natural ebb and flow that many experience while rebuilding their lives. Recognizing these challenges as a normal aspect of recovery can help you continue to approach this journey with self-compassion and determination."
"2","high","decreasing","0.7","formal","Legitimizing","Periods of heightened risk are a recognized part of the recovery journey and do not diminish the progress you’ve made. Your lapse risk is high and decreasing, which indicates that meaningful changes are taking place. It is entirely valid to encounter challenges as you continue forward, and these experiences are a natural part of growth and healing."
"3","low","increasing","0.7","formal","Legitimizing","Your lapse risk is low and increasing, which is a natural part of the recovery process. Fluctuations like these are a common experience and do not diminish the progress you’ve achieved so far. Recovery is a journey that involves navigating changes and challenges, and each step you take reflects your commitment to growth and healing. Recognizing this can help you approach each day with self-compassion and resilience."
"4","low","decreasing","0.7","formal","Legitimizing","Recovery often includes moments of difficulty, and acknowledging these is an important part of moving forward. Your lapse risk is low and steadily decreasing, which reflects the resilience and determination you are cultivating. These shifts are a testament to the natural ebb and flow of progress, showing how meaningful change can emerge over time. Trust in the process as you continue building a stronger and more stable path ahead."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, which highlights the importance of focusing on your well-being during this time. This moment in your recovery journey is challenging, but it is also a chance to recognize the resilience you’ve demonstrated in getting to this point. Remember that recovery is not about perfection—it’s about persistence and the small, daily steps that lead to lasting change. Your efforts continue to be an important part of building the healthier future you deserve."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently high but continues to decrease, highlighting the progress you are making in your recovery. This downward trend shows the strength and commitment you are bringing to this process, even in the face of challenges. Staying engaged with your recovery journey is helping to build a foundation for greater stability and resilience, and that effort is deeply meaningful."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and increasing, indicating the importance of staying mindful of the progress you’ve achieved. Recovery often involves shifts that can feel challenging, but your dedication continues to reflect resilience and growth. Recognizing the steps you’ve taken toward your well-being is key, as each choice contributes to your success. This app is committed to supporting you in maintaining your momentum as you move forward."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is low and continues to decrease, highlighting the steady progress you are making in your recovery. This reflects the dedication and resilience you bring to each day, fostering positive momentum in your journey. Your efforts to prioritize your well-being are making a meaningful difference. This app is here to stand alongside you, offering support as you build on this success."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and increasing, yet your past actions show you possess the resilience to navigate complex recovery moments. You have consistently demonstrated the ability to engage with the app’s features, using them to reinforce your strengths and make progress. Staying connected to what has worked well for you before highlights your capability to continue building momentum and face challenges with confidence."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and decreasing, which highlights the progress you are making toward greater stability in your recovery. This improvement reflects your dedication and the proactive steps you are taking to address challenges effectively. By continuing to engage with the tools and strategies available, you are reinforcing your ability to navigate this journey with strength and determination."
"3","low","increasing","0.7","formal","Self-Efficacy","Your lapse risk is low and showing a gradual increase, which highlights the dynamic nature of recovery. This change is an opportunity to draw on the resilience and commitment you have demonstrated in staying connected with the app and its tools. The progress you’ve made so far shows your ability to adapt and stay focused, even as circumstances shift. Your consistent efforts reflect a strong foundation to continue moving forward with confidence."
"4","low","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is low and continuing to decrease, indicating the steady progress you are making in your recovery journey. This reflects your ability to engage with the app’s tools and draw on your inner strengths to overcome challenges. Your dedication shows that you have the capability to keep building on what you’ve achieved, reinforcing the strong foundation you’ve created for lasting success."
"1","high","increasing","0.7","formal","Acknowledging","Your lapse risk is high and increasing, which might be stirring emotions like unease, discouragement, or uncertainty. These feelings are natural and worth acknowledging, as they can offer valuable clues about what you are experiencing or navigating at this moment. Taking time to gently explore these emotional responses may help uncover deeper connections between your current challenges and your recovery path. This reflective space could hold insights that support your continued progress."
"2","high","decreasing","0.7","formal","Acknowledging","Your lapse risk is currently high, though it is steadily decreasing, signaling ongoing progress in your recovery. This change may bring up a range of emotions—perhaps a sense of hope mixed with lingering concerns about maintaining this momentum. These responses are valid and may offer valuable insights into your personal journey and the factors influencing your progress. Taking time to explore these feelings can foster greater self-awareness and contribute to your continued recovery."
"3","low","increasing","0.7","formal","Acknowledging","Your lapse risk remains low, though its upward trend may invite reflection on how this change resonates with you emotionally. You might notice feelings like unease or uncertainty as you consider what might be influencing this shift. Allowing space to explore these emotions and the context surrounding them could bring insight into how your path has evolved recently. This kind of thoughtful self-awareness can serve as a meaningful way to honor your progress and the values shaping your recovery."
"4","low","decreasing","0.7","formal","Acknowledging","Your lapse risk is currently low and continues to decline, which may mirror a growing sense of confidence or comfort in your path toward recovery. This ongoing progress might resonate with the efforts you’ve invested and the resilience you’ve demonstrated. Reflecting on how this shift connects with your emotions or your sense of purpose could provide valuable insight into what nurtures your well-being. This space for exploration may deepen your understanding of the factors that support your growth."
"1","high","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and increasing, underscoring the importance of staying focused on the values that bring meaning to your life. Recovery is a powerful way to safeguard the things that matter deeply to you, such as your family, your health, or your future goals. By actively engaging in this process, you are reinforcing your dedication to building a life that reflects your priorities and aspirations. Each step forward strengthens your connection to what you value most and supports the path you’ve chosen."
"2","high","decreasing","0.7","formal","Value Affirmation","Your lapse risk is high and decreasing, indicating that you are moving in a positive direction in your recovery. This progress is meaningful because it supports the values that are central to your life, such as maintaining your well-being, building a secure future, or deepening connections with those you care about. Each step forward strengthens the foundation for these priorities, helping you align more closely with the life you are working to create."
"3","low","increasing","0.7","formal","Value Affirmation","Your lapse risk is low and increasing. This is an opportunity to focus on the values that drive you, whether it’s building stronger relationships, advancing in your career, or prioritizing your well-being. Every step forward in recovery supports those deeper priorities, helping you live more fully in alignment with what matters most. Staying committed to this path strengthens the foundation for a fulfilling and purposeful future."
"4","low","decreasing","0.7","formal","Value Affirmation","Your lapse risk is low and steadily decreasing, a clear indication of the meaningful progress you are making. This positive trend not only supports your recovery but also reinforces the values that guide your life, such as caring for your health, fostering connections with loved ones, or advancing your personal or professional goals. Every step forward strengthens your ability to live in alignment with what matters most to you, helping you create a life rooted in purpose and fulfillment."
