"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","1.0","formal","Legitimizing","Your lapse risk is high and increasing today, and this pattern is linked to the cravings you reported. It is completely understandable to feel this kind of pull, especially when cravings rise. Your reactions make sense, and it is okay to notice them without judgment. You are doing your best by checking in, and each step like this reflects your ongoing effort."
"2","high","decreasing","1.0","formal","Legitimizing","Your lapse risk is high and decreasing, and this change reflects the effort you have been putting in. Craving is playing a strong role in your risk today, and it is understandable to feel its pull. Your reactions and emotions are natural parts of this process, and it is acceptable to experience them without judgment. Your continued awareness of these feelings is meaningful as you move through the day."
"3","low","increasing","1.0","formal","Legitimizing","Your lapse risk is low and increasing, and this reflects the influence of the cravings you noted. It makes sense to have these feelings, and they deserve calm attention rather than pressure. Cravings can be uncomfortable, and it is understandable that they play a role in your risk today. It is okay to experience them, and acknowledging them is an important part of your day."
"1","high","increasing","1.0","formal","SelfEfficacy","Your lapse risk is high and increasing, and craving is playing a strong role in that change today. Even with these challenges, you have shown the ability to stay focused during difficult moments. Your past efforts reflect real strength, and those same skills can support you again now. Each step you take shows that you are capable of continuing your progress."
"2","high","decreasing","1.0","formal","SelfEfficacy","Your lapse risk is high and decreasing, which shows meaningful progress. Craving is playing a strong role in your risk today, yet you have shown the ability to move through moments like this before. Your steady improvement reflects the skills and determination you continue to use. You have what it takes to keep going, and your efforts are making a real difference."
"3","low","increasing","1.0","formal","SelfEfficacy","Your lapse risk is low and increasing, and this change appears linked to some recent craving. Even with this shift, you have shown strong personal skills that support your progress. Your steady approach demonstrates that you have the capability to manage moments like this. Your continued commitment reflects the resilience that carries you forward."
"1","high","increasing","1.0","formal","Acknowledging","Your lapse risk is high and increasing, and this reflects the strong cravings you have been dealing with. These cravings can bring up many thoughts and emotions, and it is understandable if they feel difficult to carry. Your experiences are recognized, and your efforts to stay aware of these feelings show real care for yourself. Taking a moment to notice what these emotions mean to you today may offer a bit of steadiness."
"2","high","decreasing","1.0","formal","Acknowledging","Your lapse risk is high and decreasing, and this change reflects the ongoing effort you have been putting into your recovery. Craving is playing a meaningful role in your risk today, and it makes sense if this has felt challenging or distracting. Your recent survey responses show that you have been paying close attention to these feelings, which is an important part of understanding your experience. Please take a moment to recognize what you have been carrying and how you have been moving through it."
"3","low","increasing","1.0","formal","Acknowledging","Your lapse risk is low and increasing, and this change is influenced in part by the cravings you reported. It sounds like these cravings have been noticeable, and your openness about them is important. Your experiences are recognized, and your feelings during these moments matter. Taking a moment to reflect on how these cravings showed up today may offer some clarity."
"1","high","increasing","1.0","formal","ValueAffirmation","Your lapse risk is high and increasing, and cravings are playing a strong role in that pattern today. This may feel discouraging, yet it can also be a reminder of how much your goals and values mean to you. Taking a moment to think about the people and hopes that guide your life can help you stay connected to what matters most. Your steady effort continues to reflect the commitment you hold within yourself."
"2","high","decreasing","1.0","formal","ValueAffirmation","Your lapse risk is high and decreasing today, and this change reflects steady effort even while cravings continue to play a strong role. Your response to these cravings shows a commitment to the things in your life that matter deeply. Taking time to notice those values can reinforce the purpose that guides you forward. Your progress today speaks to the importance of what you are working toward."
"3","low","increasing","1.0","formal","ValueAffirmation","Your lapse risk is low and increasing, and cravings appear to be playing a meaningful role in that change. It may help to pause and reflect on the values that guide your life, because these values often give strength during times when cravings feel more noticeable. Many people find that keeping their core priorities in mind brings a sense of steadiness. Your continued focus on what matters most to you supports the progress you are making today."
"1","high","increasing","1.0","formal","Norms","Your lapse risk is high and increasing today, and craving appears to be a major factor. Many people in recovery experience similar periods when cravings feel stronger, so your situation is not unusual. Others have faced these same challenges and have continued moving forward step by step. Your experience fits within what many have gone through on their own recovery paths."
"2","high","decreasing","1.0","formal","Norms","Your lapse risk is high and decreasing, which reflects some positive movement. Craving appears to be a key factor in this risk today. Many people in recovery experience similar urges, and these feelings are more common than they may seem. Others have worked through comparable moments, and your experience fits within what many have faced on their own path."
"3","low","increasing","1.0","formal","Norms","Your lapse risk is low and increasing, and this change appears to be linked to the cravings you reported. Many people in recovery experience similar cravings, and these moments are a common part of the process. Others have faced these same feelings and continued moving forward. Your experience fits within what many have gone through during their own recovery journeys."
"1","high","increasing","1.0","informal","Legitimizing","Your lapse risk is high and increasing, and that can feel pretty tough to carry. Craving is playing a big part in this, and it makes sense if things feel a bit heavier than usual right now. Your reactions are real and understandable, and nothing about what you are feeling is wrong. You are facing a lot today, and it is okay to meet it one moment at a time."
"2","high","decreasing","1.0","informal","Legitimizing","Your lapse risk is high and decreasing, and that change shows something in you is shifting. Craving is playing a big part in this, and it can feel really intense. It is okay to feel this way, and nothing about these feelings means you are doing anything wrong. You deserve space to feel what you feel while you keep moving through the day."
"3","low","increasing","1.0","informal","Legitimizing","Your lapse risk is low and increasing, and it is being lifted a bit by the cravings you reported. Those cravings can stir up all kinds of feelings, and it makes sense to notice them just as they are. It is completely okay to feel this way, and nothing about this reaction is unusual for you. You are doing your best by checking in with yourself today, and that effort matters."
"1","high","increasing","1.0","informal","SelfEfficacy","Your lapse risk is high and increasing, and cravings are playing a big part in that today. Even with this pressure, you have handled moments like this before. You carry real strength and skills that can help you move through tough cravings. Keep leaning on what you know works for you, because you have it in you to stay on your path."
"2","high","decreasing","1.0","informal","SelfEfficacy","Your lapse risk is high and decreasing, and that change shows real strength. Craving is playing a big part in your risk today, but you’ve handled tough moments like this before. You have the skills to keep moving forward, even when things feel rough. Every step you take shows how capable you are."
"3","low","increasing","1.0","informal","SelfEfficacy","Your lapse risk is low and increasing, and craving is playing a part in that change. You’ve handled moments like this before, and your past choices show you have real strength. You carry the skills that help you stay steady even when cravings show up. Keep trusting in what you know you can do."
"1","high","increasing","1.0","informal","Acknowledging","Your lapse risk is high and increasing, and it makes sense if that feels tough to carry today. Craving is playing a big role in this shift, and it can stir up a lot inside. Your reactions and feelings are real parts of what you are going through, and they matter here. Take a moment to notice what this experience is bringing up for you, and give yourself credit for checking in."
"2","high","decreasing","1.0","informal","Acknowledging","Your lapse risk is high and decreasing, and that change shows some real effort on your part. Craving has been playing a big role in what you are dealing with, and it makes sense if things have felt tense or tiring. What you shared today comes through clearly, and your feelings matter here. Take a moment to notice what is going on inside as you move through the day."
"3","low","increasing","1.0","informal","Acknowledging","Your lapse risk is low and increasing, and it makes sense if that feels a bit confusing or even frustrating. Craving is playing a big part in this shift, and it can stir up a lot inside. It sounds like you have been tuning in to what is going on with you, and that awareness really shows. Take a moment to notice how you are feeling today, because your experience matters."
"1","high","increasing","1.0","informal","ValueAffirmation","Your lapse risk is high and increasing, and cravings are playing a big part in that today. It might help to take a moment to remember what matters most to you, because those things can steady you when the day feels tough. You have worked hard to protect the parts of your life that mean the most. Holding on to those values can keep you moving in the direction you want to go."
"2","high","decreasing","1.0","informal","ValueAffirmation","Your lapse risk is high and decreasing today, and cravings are playing a big part in that shift. It takes real strength to keep moving forward when cravings show up. Take a moment to think about what matters most to you, because those values help guide each step. The effort you’re putting in lines up with the life you want to keep building."
"3","low","increasing","1.0","informal","ValueAffirmation","Your lapse risk is low and increasing, and cravings are playing a part in that change today. It helps to pause and remember what means the most to you because those values give your days direction. You keep moving forward for reasons that run deep in your life, and that effort shows in the progress you make. Stay close to the things that keep you grounded and proud of how far you have come."
"1","high","increasing","1.0","informal","Norms","Your lapse risk is high and increasing today, and cravings are playing a big part in that. Many people in recovery go through days like this, and their minds feel pulled in different directions. You are not alone in this kind of struggle because others have felt the same strong pull. Feeling this way does not set you apart, and it can be comforting to remember that many folks have pushed through moments like this."
