"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"1","high","increasing","0.7","formal","Legitimizing","It is important to recognize that recovery is a journey filled with ups and downs, and the challenges you are experiencing are a natural part of this process. Your lapse risk is currently high and increasing, which reflects the complexity of navigating change. These moments are valid and do not diminish the progress you have made. Facing difficulties is expected, and it does not define your ability to move forward in your recovery."
"2","high","decreasing","0.7","formal","Legitimizing","It is completely normal to face challenges as part of the recovery process, and the fact that you are here reflects your strength and commitment. Your lapse risk is currently high but improving, which shows that positive changes are happening. Recovery is a journey that includes ups and downs, and experiencing moments like this is a natural part of that process."
"3","low","increasing","0.7","formal","Legitimizing","It is completely normal to encounter changes and challenges in recovery, and these shifts are an expected part of the journey. Your lapse risk is currently low, though it has been increasing, which is a natural pattern that many people experience. These moments are valid and do not define your progress or dedication. Recovery is a process, and embracing each step, even the difficult ones, is part of building long-term resilience."
"4","low","decreasing","0.7","formal","Legitimizing","Experiencing ups and downs during recovery is a natural part of the process, and it does not take away from the progress you are making. Your lapse risk is currently low and continuing to decrease, which reflects the positive momentum you’ve built. It’s important to recognize that challenges and moments of uncertainty are common, and they do not define your journey. Your commitment to moving forward is evident, and this is a meaningful step in your recovery."
"1","high","increasing","0.7","formal","Caring/Supportive","Your lapse risk is high and increasing, which may feel challenging right now. This is a time to approach yourself with care and understanding, as moments like these are a normal part of the recovery process. Please know that you are not alone in this journey—support is here for you, and every step forward matters. Together, we can navigate this path with strength and focus on your continued progress."
"2","high","decreasing","0.7","formal","Caring/Supportive","Your current lapse risk is high, but it is steadily decreasing. This progress is a clear sign of the effort you are putting into your recovery, and that is something to be proud of. Recovery is a journey that can have challenging moments, but you are not alone. This app is here to support you every step of the way as you continue moving forward."
"3","low","increasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low, though it is increasing. This change is something to be mindful of, as it may reflect subtle shifts in your recovery journey. It’s important to know that you are not alone, and there is support available to help you continue moving forward. Recovery is a process, and this app is here to walk with you every step of the way."
"4","low","decreasing","0.7","formal","Caring/Supportive","Your lapse risk is currently low and continuing to decrease, which reflects the progress you're making in your recovery journey. This is an encouraging sign and speaks to the strength and dedication you're showing. Please know that support is always available to you, and this app is here to walk alongside you as you continue moving forward."
"1","high","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high and increasing, but it’s important to remember the strengths you’ve already shown in your recovery journey. You’ve demonstrated the ability to engage with the tools and resources available to you, which shows resilience and determination. By continuing to use these strategies, you can navigate this challenging period and build on the progress you’ve made. Trust in your capacity to face these moments with courage and focus."
"2","high","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently high but decreasing, which reflects positive momentum in your recovery journey. This progress demonstrates your ability to engage effectively with the tools and strategies available to you and to navigate challenges with resilience. Building on your past successes, you have shown that you possess the strength and capability to continue moving forward. Keep trusting in your capacity to grow and stay committed to the process."
"3","low","increasing","0.7","formal","Self-Efficacy","Your lapse risk is currently low and increasing, but you have demonstrated a strong ability to stay engaged with your recovery journey. The skills and resilience you’ve shown so far are powerful tools that can help you continue making progress. By consistently using the app’s features and building on your successes, you are reinforcing your capacity to navigate challenges and maintain your momentum."
"4","low","decreasing","0.7","formal","Self-Efficacy","Your lapse risk is currently low and decreasing, which reflects the progress you are making in your recovery journey. This shows your ability to stay committed to using the tools and resources available to you. Your continued focus and effort demonstrate personal strength and resilience, helping you build on the successes you’ve already achieved. Staying engaged with this process highlights your capability to navigate challenges and maintain forward momentum."
"1","high","increasing","0.7","formal","Acknowledging","Your lapse risk is currently high and increasing, which may feel overwhelming or unsettling. It’s possible that you’re carrying a lot on your mind or navigating emotions that feel heavy right now. These moments can sometimes bring up feelings of vulnerability, frustration, or even self-doubt. Taking time to pause and explore what you’re experiencing could help you better understand the challenges you’re facing and what they mean to you."
"2","high","decreasing","0.7","formal","Acknowledging","Your current lapse risk is high and decreasing, which may bring up a mix of emotions. It’s possible that you’re feeling a sense of relief or cautious optimism as things shift, yet there may also be some lingering concerns or tension around this. It’s completely valid to hold these feelings together, as they are part of the process of navigating change. Taking time to reflect on how this moment feels for you could offer valuable insight into your journey."
"3","low","increasing","0.7","formal","Acknowledging","Your lapse risk is currently low, though it has been increasing. This change may bring up a mix of feelings, such as pride for maintaining a low level of risk or concern about the shift you're noticing. It’s natural to experience a range of emotions as you reflect on where you are in your recovery journey. Staying connected to these feelings can help you continue to understand what they mean for you and your path forward."
"4","low","decreasing","0.7","formal","Acknowledging","It seems that your lapse risk is currently low and continuing to decrease, which may bring a sense of reassurance or stability. This progress could reflect the efforts you’ve been making and the ways you are navigating your recovery journey. If this shift feels meaningful to you, it might be worthwhile to explore what has contributed to this change and how it aligns with your overall emotional experience. Whatever feelings arise as you reflect, they are an important part of understanding your path forward."
"1","high","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently high and increasing. It can be helpful to reflect on the values that matter most to you, such as your health, your relationships, or your personal goals. Engaging with recovery tools can support these priorities by helping you stay focused on what brings meaning and purpose to your life. Staying connected with your recovery journey can strengthen the foundation for the future you are working toward."
"2","high","decreasing","0.7","formal","Value Affirmation","Your lapse risk is currently high, but it is decreasing, which shows progress in your recovery journey. Taking steps to reduce this risk supports the values that matter most to you, whether it’s your health, your loved ones, or your personal goals. Each moment you engage with your recovery strengthens your ability to live in alignment with those priorities, helping you build the future you truly care about."
"3","low","increasing","0.7","formal","Value Affirmation","Your lapse risk is currently low but showing signs of increasing. Staying engaged with your recovery supports the deeper priorities in your life, such as your health and personal well-being. By continuing to focus on the steps you’re taking, you’re reinforcing the foundation that allows you to thrive in the areas that matter most to you. This commitment helps strengthen your sense of purpose and keeps you aligned with what you value most."
"4","low","decreasing","0.7","formal","Value Affirmation","Your lapse risk is low and continuing to decrease, which reflects the progress you are making in your recovery. This effort supports the deeper values that guide your life, such as nurturing your relationships, maintaining your health, or pursuing personal growth. By staying engaged with this process, you are honoring those priorities and building a stronger foundation for the future you care about. Each step you take reinforces the commitment you have made to what matters most to you."
"1","high","increasing","0.7","formal","Norms","Your lapse risk is currently high and increasing, which is something others in similar situations have also experienced during their recovery journey. Many individuals facing this level of risk have successfully used strategies in the app to ease cravings and manage stress, finding strength in knowing they are not alone. Recovery is a shared process, and countless people like you have encountered challenges but made meaningful progress through consistent effort and support."
"2","high","decreasing","0.7","formal","Norms","Your lapse risk is currently high but decreasing, which reflects progress in your recovery journey. Many individuals with similar experiences have successfully used this app to navigate challenges, reduce cravings, and manage stress, even in difficult moments. You are not alone in this process—others have faced similar risks and found encouragement and meaningful progress by staying engaged and focused on their goals."
"3","low","increasing","0.7","formal","Norms","Your lapse risk is currently low, although it is increasing. Many individuals who have faced similar challenges have successfully navigated moments like this by focusing on the tools and support available to them. You are part of a community of people who understand what you are experiencing and have made meaningful progress in their recovery. It is important to recognize that you are not alone, and the path you are following has helped others reduce cravings and manage stress effectively."
"4","low","decreasing","0.7","formal","Norms","Individuals with similar experiences have successfully used tools like this app to reduce their cravings and manage stress, showing remarkable progress over time. Your lapse risk is currently low and continuing to decrease, which aligns with the positive trends seen in others who have faced similar challenges. Many people in recovery have found encouragement and growth through consistent engagement, and your progress reflects that shared journey. You are part of a community of people making meaningful strides, and your efforts are contributing to this shared success."
"1","high","increasing","0.7","informal","Legitimizing","Recovery isn't always smooth sailing, and it's completely normal to face ups and downs along the way. Your lapse risk is high and increasing, but that doesn't mean you're doing anything wrong. Challenges like this are part of the process, and they don’t define your progress. Keep in mind that moving forward is about learning and growing, not being perfect."
"2","high","decreasing","0.7","informal","Legitimizing","It's totally normal to face ups and downs in recovery, and you're not alone in this. Your lapse risk is high right now, but the good news is that it's moving in the right direction and decreasing. Recovery can be tough sometimes, but every step forward matters, even when things feel challenging."
"3","low","increasing","0.7","informal","Legitimizing","It’s totally normal to have ups and downs during recovery, and you're doing what matters by showing up for yourself each day. Your lapse risk is low right now, but it’s starting to increase, which is something that happens to everyone at times. Recovery isn’t always a straight path, and those shifts don’t take away from the progress you’ve made."
"4","low","decreasing","0.7","informal","Legitimizing","Recovery can bring its ups and downs, and that's all part of the process. Your lapse risk is low and continuing to decrease, which shows the progress you're making. It's completely normal to face challenges and questions along the way, but that doesn’t take away from how far you’ve come. Every step forward counts, and you're doing great."
"1","high","increasing","0.7","informal","Caring/Supportive","Your lapse risk is high right now and seems to be increasing, which can feel like a lot to carry. It’s really important to remember that challenges like this don’t define you or your journey. This app is here to walk alongside you and support you through this, no matter how things feel today. You’re not alone in this, and every step forward counts."
"2","high","decreasing","0.7","informal","Caring/Supportive","Your lapse risk is high right now, but it’s heading in the right direction and starting to go down. This shows that the work you’re doing is making a difference, even in tougher moments. You’re not alone in this—every step forward matters, and this app is here to have your back as you keep moving through recovery."
"3","low","increasing","0.7","informal","Caring/Supportive","Your lapse risk is low right now, though it’s starting to rise. Recovery can have its ups and downs, and that’s totally normal. This app is here to support you through it all, and you’re not walking this road alone. Every step you’re taking matters, and you’ve got what it takes to keep moving forward."
"4","low","decreasing","0.7","informal","Caring/Supportive","Your lapse risk is low and continuing to decrease, which is a great sign for your recovery. It shows how much effort you're putting into staying on track, and that's something to be proud of. This app is here to walk alongside you and offer support whenever you need it. Keep focusing on what’s working for you—your progress matters."
